"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p.adj","otu","domain","phylum","class","order","family","genus","sp","highest","group","mean.N"
"826101",1.77958581298684,-1.00978559126832,1.01965956203409,0.926776234578256,0.335702021957961,0.671808017468219,0.702441319059751,"826101","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA,"999","Within.L",859.544330084625
"1110360",0.112522465152366,2.4269270048591,2.49543879211743,0.927176066757994,0.33559779904163,0.671808017468219,0.702441319059751,"1110360","Archaea","Crenarchaeota","MBGB",NA,NA,NA,NA,"999","Within.L",113.795089398805
"712180",7.93478433969734,-0.845996522920777,0.864429093976454,0.915463687138526,0.338668885742991,0.676930717536772,0.706397283927913,"712180","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter",NA,"999","Within.L",1961.09226345509
"663304",0.362923367074024,-1.32800110818066,1.33674418528607,0.910270903536116,0.340042550260462,0.67886045748277,0.707762982518868,"663304","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Within.L",60.0426832048734
"581393",0.484804440836133,-2.211723267121,2.14241456506344,0.907983307396137,0.340650073417652,0.679257880208099,0.708278769334061,"581393","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae",NA,NA,"999","Within.L",260.233729472519
"136041",4.14601429088166,-1.29413169496036,1.31009763942549,0.902287964791299,0.342168963654189,0.681469444978342,0.709937502039091,"136041","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muricauda",NA,"999","Within.L",661.850464523027
"324409",0.220824913747065,-2.4317024939176,2.34507838533994,0.896584091095946,0.343699296129007,0.683698480218347,0.712362014818962,"324409","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA,"999","Within.L",80.3790817546632
"2286552",0.109220316228561,2.49166018474632,2.60921597406924,0.890966829084931,0.345215440847056,0.685075510893383,0.714001263684721,"2286552","Bacteria","Proteobacteria","TA18","PHOS-HD29",NA,NA,NA,"999","Within.L",48.0670317861712
"4436314",0.101589260384224,-2.60996333066579,2.50034728487279,0.891302456467372,0.345124598496585,0.685075510893383,0.714001263684721,"4436314","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Within.L",16.5382256913717
"4336989",0.357517892682449,2.15495711911201,2.28250227640148,0.884630531913558,0.346936542825138,0.686228789256083,0.71476043494267,"4336989","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola",NA,"999","Within.L",150.201735001384
"270202",0.524828137160142,-1.63936046020894,1.65259785178271,0.884271096322664,0.34703452300924,0.686228789256083,0.71476043494267,"270202","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"999","Within.L",187.267915603587
"591256",0.413729066174832,-1.72592568701183,1.73210850754477,0.885216605068592,0.34677686290249,0.686228789256083,0.71476043494267,"591256","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae",NA,NA,"999","Within.L",129.519829775807
"825240",0.725828061565469,-1.12921531180924,1.16430985505792,0.881066879812693,0.347909636100322,0.687097765869242,0.715814078873077,"825240","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae",NA,NA,"999","Within.L",229.162966045642
"1051517",0.229532479470517,-2.21373838690136,2.17888293031317,0.879639959094732,0.348300310660115,0.687097765869242,0.715869845187647,"1051517","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"999","Within.L",106.837212932283
"2645015",1.70362235216634,-1.21467399175072,1.25237041965752,0.875388661517604,0.34946780623341,0.688514647188209,0.716058142402877,"2645015","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Robiginitalea",NA,"999","Within.L",522.600757565063
"564018",3.1040829408302,-0.965251744085747,1.00525501722856,0.874013516784771,0.349846588619384,0.688514647188209,0.716058142402877,"564018","Bacteria","Verrucomicrobia","Verruco-5","R76-B128",NA,NA,NA,"999","Within.L",626.833114172452
"535290",0.14013581111973,2.26694939527328,2.41347918204604,0.871244012501819,0.350611143503362,0.689203701709327,0.716877820932627,"535290","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae",NA,NA,"999","Within.L",47.2104049130972
"312465",0.346906157789225,-2.13252776714839,2.12598468377889,0.86392812109699,0.352641764518314,0.690750759448632,0.718898023563652,"312465","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Within.L",115.974042587274
"562356",0.403254881101386,-1.86430027787845,1.87918156928926,0.866678951464507,0.351876358960183,0.690750759448632,0.71871841368527,"562356","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,"999","Within.L",189.003867042691
"237452",0.248549422945664,2.19495491570268,2.35261056477148,0.86247237521664,0.353047738662942,0.690750759448632,0.718898023563652,"237452","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales",NA,NA,NA,"999","Within.L",104.392603295151
"41135",0.628162798870586,-1.7240062576931,1.75303548133395,0.862429810888671,0.353059618479457,0.690750759448632,0.718898023563652,"41135","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Coraliomargarita",NA,"999","Within.L",303.003774867373
"812151",0.0986999711115051,-2.67324379408163,2.60377670225679,0.8584366359174,0.354176557985586,0.692121757849623,0.720427316811589,"812151","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae",NA,NA,"999","Within.L",28.8249202872194
"849122",0.332363179952838,-1.96491398888527,1.99066581711476,0.850072688535533,0.356531775348907,0.695906505170461,0.722977410568484,"849122","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces",NA,"999","Within.L",224.738268629149
"248395",0.833516460366305,1.81099057245436,1.97200369309926,0.847547691311149,0.357247010918971,0.69616906993285,0.723457830137653,"248395","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,"999","Within.L",192.421824125928
"166005",0.255687603681298,-2.17478676363034,2.18568774759515,0.846643758948062,0.357503539219876,0.69616906993285,0.723457830137653,"166005","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",NA,"999","Within.L",146.318062315527
"4384985",0.0953015043338411,-2.50742402610058,2.48334116052675,0.84268966863408,0.358628655605677,0.697543221371041,0.724989551219279,"4384985","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,"999","Within.L",39.106180454536
"155641",1.15785525480362,1.50631707422787,1.65416105376674,0.839977014366696,0.359403344805099,0.69823336730243,0.725810447098709,"155641","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae",NA,NA,"999","Within.L",95.1141379187494
"4385307",7.20895736863175,0.989349478819399,1.09913338714388,0.825339403237422,0.363623660570132,0.700593518439971,0.7284495158613,"4385307","Bacteria","Cyanobacteria","Gloeobacterophycideae","Gloeobacterales","Gloeobacteraceae","Gloeobacter",NA,"999","Within.L",469.041583135697
"544402",1.9484852134608,-1.04682137228941,1.11997953776195,0.823279775749029,0.364222978356272,0.700593518439971,0.7284495158613,"544402","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","OM60",NA,NA,"999","Within.L",247.578759474425
"195783",0.751625058586958,-1.45738046928285,1.53127494741214,0.826663791655051,0.36323900582851,0.700593518439971,0.7284495158613,"195783","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Within.L",472.11324670015
"4435942",0.130039184673389,2.03029038792942,2.22500042412726,0.830438007596115,0.362145905125521,0.700593518439971,0.7284495158613,"4435942","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfosarcina",NA,"999","Within.L",29.8233980039438
"2589",0.884500081385917,-1.14348215126585,1.21747211064014,0.825555630646363,0.363560821112486,0.700593518439971,0.7284495158613,"2589","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae",NA,NA,"999","Within.L",263.354993570558
"4345840",1.34621531458595,1.02405121467003,1.1369955419825,0.826281102456278,0.363350096060629,0.700593518439971,0.7284495158613,"4345840","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Within.L",111.047535314216
"1083335",0.252174616002166,1.67586592852714,1.85583487783703,0.822638914047275,0.364409737492829,0.700593518439971,0.7284495158613,"1083335","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Within.L",23.6493366667217
"731245",0.437260319265728,-1.88513266557981,1.94354334684436,0.826832711131715,0.363189985406037,0.700593518439971,0.7284495158613,"731245","Bacteria","Verrucomicrobia","Verruco-5","R76-B128",NA,NA,NA,"999","Within.L",105.572137042028
"304068",0.0793906150123524,2.49879491230296,2.71464151643013,0.82789733842236,0.362881241006046,0.700593518439971,0.7284495158613,"304068","Bacteria","Acidobacteria","OS-K",NA,NA,NA,NA,"999","Within.L",54.433520156734
"1116679",0.132523176906422,-2.4126382716308,2.43835872756763,0.817193397919624,0.366002030256308,0.701222783774471,0.729410928719303,"1116679","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia",NA,"999","Within.L",29.5862311067214
"255361",0.210575853961786,2.04656353463623,2.25662211118519,0.819970626211614,0.365188754176251,0.701222783774471,0.729266386382391,"255361","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Within.L",94.3372641152792
"337205",1.00975469237201,-1.21249830209124,1.29385825235196,0.817350147766319,0.365956061195459,0.701222783774471,0.729410928719303,"337205","Bacteria","Acidobacteria","Acidobacteria-6","CCU21",NA,NA,NA,"999","Within.L",313.691067676973
"565890",0.100086236059553,2.63113537065192,2.8713265626684,0.814370434852236,0.366831276894916,0.702002777302928,0.730324352078957,"565890","Bacteria","Planctomycetes","OM190","CL500-15",NA,NA,NA,"999","Within.L",87.6897701143927
"343315",1.45546842558011,-0.932457592972658,1.0086405483576,0.812108007713618,0.367497750633844,0.702469838280556,0.730912192927313,"343315","Bacteria","Verrucomicrobia","Verruco-5","R76-B128",NA,NA,NA,"999","Within.L",377.602966182176
"1109600",0.504509047476421,1.37234895205897,1.53989920480884,0.806521118355022,0.369150786099706,0.704785177080371,0.732719655070888,"1109600","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"999","Within.L",48.2165693045729
"1108092",1396.54987750514,0.60705688196735,0.681968966283743,0.805154782662157,0.369556629232762,0.704785177080371,0.732786508518941,"1108092","Bacteria","Chloroflexi","Chloroflexi","Chloroflexales","Chloroflexaceae","Chloroflexus",NA,"999","Within.L",88233.8195108254
"1107640",387.239096081569,0.58540830094481,0.658955958675004,0.801704699838865,0.370584180551957,0.705200969167569,0.733423327730828,"1107640","Bacteria","Cyanobacteria","Nostocophycideae","Nostocales",NA,NA,NA,"999","Within.L",30274.3519946611
