"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p.adj","otu","domain","phylum","class","order","family","genus","sp","highest","group","mean.N"
"555542",0.223268710118666,0.440497064884974,1.48538302627741,0.0877067190013463,0.767113085987509,0.847696584541282,0.853633807330865,"555542","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"999","Within.R",9.08349210896468
"4430342",0.0896997812075031,0.716167696234048,2.38646149747582,0.0876060406398551,0.767242929458768,0.847696584541282,0.853633807330865,"4430342","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae",NA,NA,"999","Within.R",10.8837173756582
"1754109",0.406184002959077,0.505618935976307,1.70514181756045,0.0876533045722567,0.767181963727656,0.847696584541282,0.853633807330865,"1754109","Bacteria","Planctomycetes","Phycisphaerae","AKAU3564",NA,NA,NA,"999","Within.R",32.6001274072348
"772227",1.47128767699088,0.211307722826079,0.715262090378352,0.0872565703964483,0.767694267094833,0.848040864033225,0.853985483163632,"772227","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,"999","Within.R",36.5907682358107
"592451",0.147536857295717,-0.587505888759594,2.0049017032494,0.086793783210652,0.768293467452414,0.848548326472921,0.854501489077778,"592451","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,"999","Within.R",6.75820787547976
"1041223",0.0803007495281351,0.6836985430153,2.28403473425671,0.0864768869054444,0.76870477556953,0.848795774770554,0.854760643539349,"1041223","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Within.R",6.41228702322921
"569243",0.129875562329669,-0.632874368594719,2.17210393996402,0.0864057430738399,0.768797227535629,0.848795774770554,0.854760643539349,"569243","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,"999","Within.R",9.35423276323864
"591029",0.64765836720804,0.345396664983466,1.17792818203336,0.085908787396761,0.769444181585014,0.849355536202155,0.855329324388693,"591029","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA,"999","Within.R",28.8802857748842
"875548",0.364666075782145,0.330694170092811,1.12901320767576,0.0856960027975902,0.769721813179301,0.849432533867459,0.855416830687828,"875548","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","J115",NA,NA,"999","Within.R",11.0982737168444
"144097",2.60808284589101,0.203255972989069,0.694590798370686,0.0856408309266499,0.769793859988635,0.849432533867459,0.855416830687828,"144097","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacterineae",NA,NA,"999","Within.R",108.865794669029
"1107606",0.491425623816416,0.345160023486879,1.18376930851462,0.0849547920752229,0.770691843946557,0.849805378072611,0.855812223474949,"1107606","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,"999","Within.R",20.5546963654021
"2055248",0.797522280470033,-0.268884108258373,0.920354633290692,0.085104566332916,0.770495463584802,0.849805378072611,0.855812223474949,"2055248","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",NA,"999","Within.R",40.037388368313
