"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"20","Lipoamide","TPP"
"21","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"22","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"23","2-Methyl-1-hydroxypropyl-TPP","TPP"
"24","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"25","TPP","Lipoamide"
"26","TPP","2-Methyl-1-hydroxypropyl-TPP"
"27","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"28","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"29","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"30","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"31","PRPP","PPi"
"32","PRPP","H+"
"33","PRPP","IMP"
"34","HYXN","PPi"
"35","HYXN","H+"
"36","HYXN","IMP"
"37","S-Adenosyl-L-methionine","L-Methionine"
"38","S-Adenosyl-L-methionine","H+"
"39","S-Adenosyl-L-methionine","BIOT"
"40","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"41","S","L-Methionine"
"42","S","H+"
"43","S","BIOT"
"44","S","5'-Deoxyadenosine"
"45","Dethiobiotin","L-Methionine"
"46","Dethiobiotin","H+"
"47","Dethiobiotin","BIOT"
"48","Dethiobiotin","5'-Deoxyadenosine"
"49","H2O","ADP"
"50","H2O","Phosphate"
"51","H2O","H+"
"52","ATP","ADP"
"53","ATP","Phosphate"
"54","ATP","H+"
"55","H2O","LacCer"
"56","H2O","Galactose"
"57","H2O","Glucocerebroside"
"58","LacCer","H2O"
"59","LacCer","Galactose"
"60","LacCer","Glucocerebroside"
"61","Galactose","H2O"
"62","Galactose","LacCer"
"63","Galactose","Glucocerebroside"
"64","Glucocerebroside","H2O"
"65","Glucocerebroside","LacCer"
"66","Glucocerebroside","Galactose"
"67","Acetyl-CoA","CoA"
"68","Acetyl-CoA","O-Acetyl-L-serine"
"69","L-Serine","CoA"
"70","L-Serine","O-Acetyl-L-serine"
"71","ATP","CMP"
"72","ATP","H+"
"73","ATP","ADP"
"74","ATP","CDP"
"75","CMP","ATP"
"76","CMP","H+"
"77","CMP","ADP"
"78","CMP","CDP"
"79","H+","ATP"
"80","H+","CMP"
"81","H+","ADP"
"82","H+","CDP"
"83","ADP","ATP"
"84","ADP","CMP"
"85","ADP","H+"
"86","ADP","CDP"
"87","CDP","ATP"
"88","CDP","CMP"
"89","CDP","H+"
"90","CDP","ADP"
"91","H2O","H+"
"92","H2O","Methylenediurea"
"93","H2O","CO2"
"94","H2O","NH3"
"95","H2O","N-(Hydroxymethyl)urea"
"96","H+","H2O"
"97","H+","Methylenediurea"
"98","H+","CO2"
"99","H+","NH3"
"100","H+","N-(Hydroxymethyl)urea"
"101","Methylenediurea","H2O"
"102","Methylenediurea","H+"
"103","Methylenediurea","CO2"
"104","Methylenediurea","NH3"
"105","Methylenediurea","N-(Hydroxymethyl)urea"
"106","CO2","H2O"
"107","CO2","H+"
"108","CO2","Methylenediurea"
"109","CO2","NH3"
"110","CO2","N-(Hydroxymethyl)urea"
"111","NH3","H2O"
"112","NH3","H+"
"113","NH3","Methylenediurea"
"114","NH3","CO2"
"115","NH3","N-(Hydroxymethyl)urea"
"116","N-(Hydroxymethyl)urea","H2O"
"117","N-(Hydroxymethyl)urea","H+"
"118","N-(Hydroxymethyl)urea","Methylenediurea"
"119","N-(Hydroxymethyl)urea","CO2"
"120","N-(Hydroxymethyl)urea","NH3"
"121","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"122","UDP-N-acetylglucosamine","UDP"
"123","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"124","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"125","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"126","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"127","UDP","UDP-N-acetylglucosamine"
"128","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"129","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"130","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
