"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","PRPP","PPi"
"8","PRPP","H+"
"9","PRPP","IMP"
"10","HYXN","PPi"
"11","HYXN","H+"
"12","HYXN","IMP"
"13","H2O","N-Acyl-L-aspartate"
"14","H2O","L-Aspartate"
"15","H2O","Carboxylic acid"
"16","N-Acyl-L-aspartate","H2O"
"17","N-Acyl-L-aspartate","L-Aspartate"
"18","N-Acyl-L-aspartate","Carboxylic acid"
"19","L-Aspartate","H2O"
"20","L-Aspartate","N-Acyl-L-aspartate"
"21","L-Aspartate","Carboxylic acid"
"22","Carboxylic acid","H2O"
"23","Carboxylic acid","N-Acyl-L-aspartate"
"24","Carboxylic acid","L-Aspartate"
"25","S-Adenosyl-L-methionine","L-Methionine"
"26","S-Adenosyl-L-methionine","H+"
"27","S-Adenosyl-L-methionine","BIOT"
"28","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"29","S","L-Methionine"
"30","S","H+"
"31","S","BIOT"
"32","S","5'-Deoxyadenosine"
"33","Dethiobiotin","L-Methionine"
"34","Dethiobiotin","H+"
"35","Dethiobiotin","BIOT"
"36","Dethiobiotin","5'-Deoxyadenosine"
"37","H2O","ADP"
"38","H2O","Phosphate"
"39","H2O","H+"
"40","ATP","ADP"
"41","ATP","Phosphate"
"42","ATP","H+"
"43","Acetyl-CoA","CoA"
"44","Acetyl-CoA","O-Acetyl-L-serine"
"45","L-Serine","CoA"
"46","L-Serine","O-Acetyl-L-serine"
"47","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"48","UDP-glucose","UDP"
"49","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"50","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-glucose"
"51","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP"
"52","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"53","UDP","UDP-glucose"
"54","UDP","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"55","UDP","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"56","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP-glucose"
"57","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"58","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP"
"59","ATP","CMP"
"60","ATP","H+"
"61","ATP","ADP"
"62","ATP","CDP"
"63","CMP","ATP"
"64","CMP","H+"
"65","CMP","ADP"
"66","CMP","CDP"
"67","H+","ATP"
"68","H+","CMP"
"69","H+","ADP"
"70","H+","CDP"
"71","ADP","ATP"
"72","ADP","CMP"
"73","ADP","H+"
"74","ADP","CDP"
"75","CDP","ATP"
"76","CDP","CMP"
"77","CDP","H+"
"78","CDP","ADP"
"79","Isobutyryl-CoA","Butyryl-CoA"
"80","Butyryl-CoA","Isobutyryl-CoA"
"81","H2O","Pyruvate"
"82","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"83","Isochorismate","Pyruvate"
"84","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"85","ATP","PPi"
"86","ATP","AMP"
"87","ATP","fa6coa"
"88","CoA","PPi"
"89","CoA","AMP"
"90","CoA","fa6coa"
"91","fa6","PPi"
"92","fa6","AMP"
"93","fa6","fa6coa"
"94","NADH","NAD"
"95","NADH","7-methyl-octanoyl-ACP"
"96","H+","NAD"
"97","H+","7-methyl-octanoyl-ACP"
"98","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"99","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"100","FAD","H+"
"101","FAD","L-Malate"
"102","FAD","Oxaloacetate"
"103","FAD","FADH2"
"104","H+","FAD"
"105","H+","L-Malate"
"106","H+","Oxaloacetate"
"107","H+","FADH2"
"108","L-Malate","FAD"
"109","L-Malate","H+"
"110","L-Malate","Oxaloacetate"
"111","L-Malate","FADH2"
"112","Oxaloacetate","FAD"
"113","Oxaloacetate","H+"
"114","Oxaloacetate","L-Malate"
"115","Oxaloacetate","FADH2"
"116","FADH2","FAD"
"117","FADH2","H+"
"118","FADH2","L-Malate"
"119","FADH2","Oxaloacetate"
"120","ATP","dCDP"
"121","ATP","ADP"
"122","ATP","dCTP"
"123","dCDP","ATP"
"124","dCDP","ADP"
"125","dCDP","dCTP"
"126","ADP","ATP"
"127","ADP","dCDP"
"128","ADP","dCTP"
"129","dCTP","ATP"
"130","dCTP","dCDP"
"131","dCTP","ADP"
"132","ATP","ADP"
"133","ATP","CO2"
"134","ATP","Phosphoenolpyruvate"
"135","Oxaloacetate","ADP"
"136","Oxaloacetate","CO2"
"137","Oxaloacetate","Phosphoenolpyruvate"
"138","trans-4-Hydroxy-L-proline","cis-4-Hydroxy-D-proline"
"139","cis-4-Hydroxy-D-proline","trans-4-Hydroxy-L-proline"
"140","Lipoamide","2-Hydroxyethyl-ThPP"
"141","Lipoamide","TPP"
"142","Lipoamide","S-Acetyldihydrolipoamide"
"143","2-Hydroxyethyl-ThPP","Lipoamide"
"144","2-Hydroxyethyl-ThPP","TPP"
"145","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
"146","TPP","Lipoamide"
"147","TPP","2-Hydroxyethyl-ThPP"
"148","TPP","S-Acetyldihydrolipoamide"
"149","S-Acetyldihydrolipoamide","Lipoamide"
"150","S-Acetyldihydrolipoamide","2-Hydroxyethyl-ThPP"
"151","S-Acetyldihydrolipoamide","TPP"
"152","NADP","(S)-3-Hydroxybutyryl-CoA"
"153","NADP","NADPH"
"154","NADP","H+"
"155","NADP","Acetoacetyl-CoA"
