"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","S-Adenosyl-L-methionine","L-Methionine"
"8","S-Adenosyl-L-methionine","H+"
"9","S-Adenosyl-L-methionine","BIOT"
"10","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"11","S","L-Methionine"
"12","S","H+"
"13","S","BIOT"
"14","S","5'-Deoxyadenosine"
"15","Dethiobiotin","L-Methionine"
"16","Dethiobiotin","H+"
"17","Dethiobiotin","BIOT"
"18","Dethiobiotin","5'-Deoxyadenosine"
"19","Acetyl-CoA","CoA"
"20","Acetyl-CoA","O-Acetyl-L-serine"
"21","L-Serine","CoA"
"22","L-Serine","O-Acetyl-L-serine"
"23","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"24","UDP-glucose","UDP"
"25","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"26","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-glucose"
"27","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP"
"28","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"29","UDP","UDP-glucose"
"30","UDP","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"31","UDP","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"32","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP-glucose"
"33","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"34","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP"
"35","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"36","UDP-N-acetylglucosamine","UDP"
"37","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"38","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"39","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"40","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"41","UDP","UDP-N-acetylglucosamine"
"42","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"43","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"44","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"45","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"46","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"47","ATP","PPi"
"48","ATP","AMP"
"49","ATP","fa6coa"
"50","CoA","PPi"
"51","CoA","AMP"
"52","CoA","fa6coa"
"53","fa6","PPi"
"54","fa6","AMP"
"55","fa6","fa6coa"
"56","NADH","NAD"
"57","NADH","7-methyl-octanoyl-ACP"
"58","H+","NAD"
"59","H+","7-methyl-octanoyl-ACP"
"60","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"61","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"62","FAD","H+"
"63","FAD","L-Malate"
"64","FAD","Oxaloacetate"
"65","FAD","FADH2"
"66","H+","FAD"
"67","H+","L-Malate"
"68","H+","Oxaloacetate"
"69","H+","FADH2"
"70","L-Malate","FAD"
"71","L-Malate","H+"
"72","L-Malate","Oxaloacetate"
"73","L-Malate","FADH2"
"74","Oxaloacetate","FAD"
"75","Oxaloacetate","H+"
"76","Oxaloacetate","L-Malate"
"77","Oxaloacetate","FADH2"
"78","FADH2","FAD"
"79","FADH2","H+"
"80","FADH2","L-Malate"
"81","FADH2","Oxaloacetate"
"82","ATP","dCDP"
"83","ATP","ADP"
"84","ATP","dCTP"
"85","dCDP","ATP"
"86","dCDP","ADP"
"87","dCDP","dCTP"
"88","ADP","ATP"
"89","ADP","dCDP"
"90","ADP","dCTP"
"91","dCTP","ATP"
"92","dCTP","dCDP"
"93","dCTP","ADP"
"94","ATP","ADP"
"95","ATP","CO2"
"96","ATP","Phosphoenolpyruvate"
"97","Oxaloacetate","ADP"
"98","Oxaloacetate","CO2"
"99","Oxaloacetate","Phosphoenolpyruvate"
"100","H+","Nitrite"
"101","H+","Nitrite"
"102","Nitrite","H+"
"103","Nitrite","H+"
"104","GDP-mannose","H2O"
"105","GDP-mannose","GDP-4-dehydro-D-rhamnose"
"106","Citrate","Isocitrate"
"107","Isocitrate","Citrate"
"108","dTDP-4-oxo-6-deoxy-D-glucose","dTDP-4-oxo-L-rhamnose"
"109","dTDP-4-oxo-L-rhamnose","dTDP-4-oxo-6-deoxy-D-glucose"
