"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"20","Lipoamide","TPP"
"21","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"22","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"23","2-Methyl-1-hydroxypropyl-TPP","TPP"
"24","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"25","TPP","Lipoamide"
"26","TPP","2-Methyl-1-hydroxypropyl-TPP"
"27","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"28","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"29","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"30","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"31","PRPP","PPi"
"32","PRPP","H+"
"33","PRPP","IMP"
"34","HYXN","PPi"
"35","HYXN","H+"
"36","HYXN","IMP"
"37","H2O","N-Acyl-L-aspartate"
"38","H2O","L-Aspartate"
"39","H2O","Carboxylic acid"
"40","N-Acyl-L-aspartate","H2O"
"41","N-Acyl-L-aspartate","L-Aspartate"
"42","N-Acyl-L-aspartate","Carboxylic acid"
"43","L-Aspartate","H2O"
"44","L-Aspartate","N-Acyl-L-aspartate"
"45","L-Aspartate","Carboxylic acid"
"46","Carboxylic acid","H2O"
"47","Carboxylic acid","N-Acyl-L-aspartate"
"48","Carboxylic acid","L-Aspartate"
"49","H+","Adenosine"
"50","H+","Adenosine"
"51","Adenosine","H+"
"52","Adenosine","H+"
"53","H2O","ADP"
"54","H2O","Phosphate"
"55","H2O","H+"
"56","ATP","ADP"
"57","ATP","Phosphate"
"58","ATP","H+"
"59","H2O","LacCer"
"60","H2O","Galactose"
"61","H2O","Glucocerebroside"
"62","LacCer","H2O"
"63","LacCer","Galactose"
"64","LacCer","Glucocerebroside"
"65","Galactose","H2O"
"66","Galactose","LacCer"
"67","Galactose","Glucocerebroside"
"68","Glucocerebroside","H2O"
"69","Glucocerebroside","LacCer"
"70","Glucocerebroside","Galactose"
"71","Acetyl-CoA","CoA"
"72","Acetyl-CoA","O-Acetyl-L-serine"
"73","L-Serine","CoA"
"74","L-Serine","O-Acetyl-L-serine"
"75","ATP","CMP"
"76","ATP","H+"
"77","ATP","ADP"
"78","ATP","CDP"
"79","CMP","ATP"
"80","CMP","H+"
"81","CMP","ADP"
"82","CMP","CDP"
"83","H+","ATP"
"84","H+","CMP"
"85","H+","ADP"
"86","H+","CDP"
"87","ADP","ATP"
"88","ADP","CMP"
"89","ADP","H+"
"90","ADP","CDP"
"91","CDP","ATP"
"92","CDP","CMP"
"93","CDP","H+"
"94","CDP","ADP"
"95","H+","Fumarate"
"96","H+","Fumarate"
"97","Fumarate","H+"
"98","Fumarate","H+"
"99","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"100","UDP-N-acetylglucosamine","UDP"
"101","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"102","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"103","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"104","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"105","UDP","UDP-N-acetylglucosamine"
"106","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"107","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"108","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"109","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"110","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"111","H2O","Pyruvate"
"112","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"113","Isochorismate","Pyruvate"
"114","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"115","ATP","PPi"
"116","ATP","AMP"
"117","ATP","fa6coa"
"118","CoA","PPi"
"119","CoA","AMP"
"120","CoA","fa6coa"
"121","fa6","PPi"
"122","fa6","AMP"
"123","fa6","fa6coa"
"124","ATP","ADP"
"125","ATP","Phosphate"
"126","ATP","H+"
