"","from","to"
"1","PRPP","PPi"
"2","PRPP","H+"
"3","PRPP","IMP"
"4","HYXN","PPi"
"5","HYXN","H+"
"6","HYXN","IMP"
"7","S-Adenosyl-L-methionine","L-Methionine"
"8","S-Adenosyl-L-methionine","H+"
"9","S-Adenosyl-L-methionine","BIOT"
"10","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"11","S","L-Methionine"
"12","S","H+"
"13","S","BIOT"
"14","S","5'-Deoxyadenosine"
"15","Dethiobiotin","L-Methionine"
"16","Dethiobiotin","H+"
"17","Dethiobiotin","BIOT"
"18","Dethiobiotin","5'-Deoxyadenosine"
"19","Acetyl-CoA","CoA"
"20","Acetyl-CoA","O-Acetyl-L-serine"
"21","L-Serine","CoA"
"22","L-Serine","O-Acetyl-L-serine"
"23","ATP","CMP"
"24","ATP","H+"
"25","ATP","ADP"
"26","ATP","CDP"
"27","CMP","ATP"
"28","CMP","H+"
"29","CMP","ADP"
"30","CMP","CDP"
"31","H+","ATP"
"32","H+","CMP"
"33","H+","ADP"
"34","H+","CDP"
"35","ADP","ATP"
"36","ADP","CMP"
"37","ADP","H+"
"38","ADP","CDP"
"39","CDP","ATP"
"40","CDP","CMP"
"41","CDP","H+"
"42","CDP","ADP"
"43","H+","Fumarate"
"44","H+","Fumarate"
"45","Fumarate","H+"
"46","Fumarate","H+"
"47","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"48","UDP-N-acetylglucosamine","UDP"
"49","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"50","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"51","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"52","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"53","UDP","UDP-N-acetylglucosamine"
"54","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"55","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"56","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"57","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"58","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"59","H2O","Pyruvate"
"60","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"61","Isochorismate","Pyruvate"
"62","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"63","ATP","PPi"
"64","ATP","AMP"
"65","ATP","fa6coa"
"66","CoA","PPi"
"67","CoA","AMP"
"68","CoA","fa6coa"
"69","fa6","PPi"
"70","fa6","AMP"
"71","fa6","fa6coa"
"72","NADP","(S)-3-Hydroxybutyryl-CoA"
"73","NADP","NADPH"
"74","NADP","H+"
"75","NADP","Acetoacetyl-CoA"
"76","(S)-3-Hydroxybutyryl-CoA","NADP"
"77","(S)-3-Hydroxybutyryl-CoA","NADPH"
"78","(S)-3-Hydroxybutyryl-CoA","H+"
"79","(S)-3-Hydroxybutyryl-CoA","Acetoacetyl-CoA"
"80","NADPH","NADP"
"81","NADPH","(S)-3-Hydroxybutyryl-CoA"
"82","NADPH","H+"
"83","NADPH","Acetoacetyl-CoA"
"84","H+","NADP"
"85","H+","(S)-3-Hydroxybutyryl-CoA"
"86","H+","NADPH"
"87","H+","Acetoacetyl-CoA"
"88","Acetoacetyl-CoA","NADP"
"89","Acetoacetyl-CoA","(S)-3-Hydroxybutyryl-CoA"
"90","Acetoacetyl-CoA","NADPH"
"91","Acetoacetyl-CoA","H+"
"92","GDP-mannose","H2O"
"93","GDP-mannose","GDP-4-dehydro-D-rhamnose"
"94","dTDP-4-oxo-6-deoxy-D-glucose","dTDP-4-oxo-L-rhamnose"
"95","dTDP-4-oxo-L-rhamnose","dTDP-4-oxo-6-deoxy-D-glucose"
"96","UDP-apiose","Cosmetin"
"97","UDP-apiose","UDP"
"98","UDP-apiose","Apiin"
"99","Cosmetin","UDP-apiose"
"100","Cosmetin","UDP"
"101","Cosmetin","Apiin"
"102","UDP","UDP-apiose"
"103","UDP","Cosmetin"
"104","UDP","Apiin"
"105","Apiin","UDP-apiose"
"106","Apiin","Cosmetin"
"107","Apiin","UDP"
"108","CoA","Myristoyl-ACP"
"109","CoA","Myristoyl-CoA"
"110","CoA","ACP"
"111","Myristoyl-ACP","CoA"
"112","Myristoyl-ACP","Myristoyl-CoA"
"113","Myristoyl-ACP","ACP"
"114","Myristoyl-CoA","CoA"
"115","Myristoyl-CoA","Myristoyl-ACP"
"116","Myristoyl-CoA","ACP"
"117","ACP","CoA"
"118","ACP","Myristoyl-ACP"
"119","ACP","Myristoyl-CoA"
"120","H2O","NAD"
"121","H2O","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"122","H2O","NADH"
"123","H2O","H+"
"124","H2O","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"125","NAD","H2O"
"126","NAD","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"127","NAD","NADH"
"128","NAD","H+"
"129","NAD","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"130","trans-2-Methyl-5-isopropylhexa-2,5-dienal","H2O"
"131","trans-2-Methyl-5-isopropylhexa-2,5-dienal","NAD"
"132","trans-2-Methyl-5-isopropylhexa-2,5-dienal","NADH"
"133","trans-2-Methyl-5-isopropylhexa-2,5-dienal","H+"
"134","trans-2-Methyl-5-isopropylhexa-2,5-dienal","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"135","NADH","H2O"
"136","NADH","NAD"
"137","NADH","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"138","NADH","H+"
"139","NADH","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"140","H+","H2O"
"141","H+","NAD"
"142","H+","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"143","H+","NADH"
"144","H+","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"145","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","H2O"
"146","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","NAD"
"147","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"148","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","NADH"
"149","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","H+"
"150","Malonyl-acyl-carrierprotein-","CO2"
"151","Malonyl-acyl-carrierprotein-","ACP"
"152","Malonyl-acyl-carrierprotein-","9-methyl-3-oxo-decanoyl-ACP"
"153","7-methyl-octanoyl-ACP","CO2"
"154","7-methyl-octanoyl-ACP","ACP"
"155","7-methyl-octanoyl-ACP","9-methyl-3-oxo-decanoyl-ACP"
"156","Phosphate","Inosine"
"157","Phosphate","HYXN"
"158","Phosphate","Ribose 1-phosphate"
"159","Inosine","Phosphate"
"160","Inosine","HYXN"
"161","Inosine","Ribose 1-phosphate"
"162","HYXN","Phosphate"
"163","HYXN","Inosine"
"164","HYXN","Ribose 1-phosphate"
"165","Ribose 1-phosphate","Phosphate"
"166","Ribose 1-phosphate","Inosine"
"167","Ribose 1-phosphate","HYXN"
"168","H2O","Phosphate"
"169","H2O","H+"
"170","H2O","Diisohexadecanoylphosphatidylglycerol"
"171","Diisohexadecanoylphosphatidylglycerophosphate","Phosphate"
"172","Diisohexadecanoylphosphatidylglycerophosphate","H+"
"173","Diisohexadecanoylphosphatidylglycerophosphate","Diisohexadecanoylphosphatidylglycerol"
"174","H2O","gly-asp-L"
"175","H2O","Glycine"
"176","H2O","L-Aspartate"
"177","gly-asp-L","H2O"
"178","gly-asp-L","Glycine"
"179","gly-asp-L","L-Aspartate"
"180","Glycine","H2O"
"181","Glycine","gly-asp-L"
"182","Glycine","L-Aspartate"
"183","L-Aspartate","H2O"
"184","L-Aspartate","gly-asp-L"
"185","L-Aspartate","Glycine"
"186","ATP","H+"
"187","ATP","dCMP"
"188","ATP","ADP"
"189","ATP","dCDP"
"190","H+","ATP"
"191","H+","dCMP"
"192","H+","ADP"
"193","H+","dCDP"
"194","dCMP","ATP"
"195","dCMP","H+"
"196","dCMP","ADP"
"197","dCMP","dCDP"
"198","ADP","ATP"
"199","ADP","H+"
"200","ADP","dCMP"
"201","ADP","dCDP"
"202","dCDP","ATP"
"203","dCDP","H+"
"204","dCDP","dCMP"
"205","dCDP","ADP"
"206","(R)-3-Hydroxybutanoyl-CoA","H2O"
"207","(R)-3-Hydroxybutanoyl-CoA","Crotonyl-CoA"
"208","H2O","(R)-3-Hydroxybutanoyl-CoA"
"209","H2O","Crotonyl-CoA"
"210","Crotonyl-CoA","(R)-3-Hydroxybutanoyl-CoA"
"211","Crotonyl-CoA","H2O"
"212","Oxaloacetate","ITP"
"213","Oxaloacetate","CO2"
"214","Oxaloacetate","Phosphoenolpyruvate"
"215","Oxaloacetate","IDP"
"216","ITP","Oxaloacetate"
"217","ITP","CO2"
"218","ITP","Phosphoenolpyruvate"
"219","ITP","IDP"
"220","CO2","Oxaloacetate"
"221","CO2","ITP"
"222","CO2","Phosphoenolpyruvate"
"223","CO2","IDP"
"224","Phosphoenolpyruvate","Oxaloacetate"
"225","Phosphoenolpyruvate","ITP"
"226","Phosphoenolpyruvate","CO2"
"227","Phosphoenolpyruvate","IDP"
"228","IDP","Oxaloacetate"
"229","IDP","ITP"
"230","IDP","CO2"
"231","IDP","Phosphoenolpyruvate"
"232","Pyruvate","Malonyl-CoA"
"233","Pyruvate","Acetyl-CoA"
"234","Pyruvate","Oxaloacetate"
"235","Malonyl-CoA","Pyruvate"
"236","Malonyl-CoA","Acetyl-CoA"
"237","Malonyl-CoA","Oxaloacetate"
"238","Acetyl-CoA","Pyruvate"
"239","Acetyl-CoA","Malonyl-CoA"
"240","Acetyl-CoA","Oxaloacetate"
"241","Oxaloacetate","Pyruvate"
"242","Oxaloacetate","Malonyl-CoA"
"243","Oxaloacetate","Acetyl-CoA"
"244","dCTP","Cytidine"
"245","dCTP","CMP"
