"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","S-Adenosyl-L-methionine","L-Methionine"
"26","S-Adenosyl-L-methionine","H+"
"27","S-Adenosyl-L-methionine","BIOT"
"28","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"29","S","L-Methionine"
"30","S","H+"
"31","S","BIOT"
"32","S","5'-Deoxyadenosine"
"33","Dethiobiotin","L-Methionine"
"34","Dethiobiotin","H+"
"35","Dethiobiotin","BIOT"
"36","Dethiobiotin","5'-Deoxyadenosine"
"37","H2O","ADP"
"38","H2O","Phosphate"
"39","H2O","H+"
"40","ATP","ADP"
"41","ATP","Phosphate"
"42","ATP","H+"
"43","Acetyl-CoA","CoA"
"44","Acetyl-CoA","O-Acetyl-L-serine"
"45","L-Serine","CoA"
"46","L-Serine","O-Acetyl-L-serine"
"47","ATP","CMP"
"48","ATP","H+"
"49","ATP","ADP"
"50","ATP","CDP"
"51","CMP","ATP"
"52","CMP","H+"
"53","CMP","ADP"
"54","CMP","CDP"
"55","H+","ATP"
"56","H+","CMP"
"57","H+","ADP"
"58","H+","CDP"
"59","ADP","ATP"
"60","ADP","CMP"
"61","ADP","H+"
"62","ADP","CDP"
"63","CDP","ATP"
"64","CDP","CMP"
"65","CDP","H+"
"66","CDP","ADP"
"67","H+","Fumarate"
"68","H+","Fumarate"
"69","Fumarate","H+"
"70","Fumarate","H+"
"71","H2O","H+"
"72","H2O","Methylenediurea"
"73","H2O","CO2"
"74","H2O","NH3"
"75","H2O","N-(Hydroxymethyl)urea"
"76","H+","H2O"
"77","H+","Methylenediurea"
"78","H+","CO2"
"79","H+","NH3"
"80","H+","N-(Hydroxymethyl)urea"
"81","Methylenediurea","H2O"
"82","Methylenediurea","H+"
"83","Methylenediurea","CO2"
"84","Methylenediurea","NH3"
"85","Methylenediurea","N-(Hydroxymethyl)urea"
"86","CO2","H2O"
"87","CO2","H+"
"88","CO2","Methylenediurea"
"89","CO2","NH3"
"90","CO2","N-(Hydroxymethyl)urea"
"91","NH3","H2O"
"92","NH3","H+"
"93","NH3","Methylenediurea"
"94","NH3","CO2"
"95","NH3","N-(Hydroxymethyl)urea"
"96","N-(Hydroxymethyl)urea","H2O"
"97","N-(Hydroxymethyl)urea","H+"
"98","N-(Hydroxymethyl)urea","Methylenediurea"
"99","N-(Hydroxymethyl)urea","CO2"
"100","N-(Hydroxymethyl)urea","NH3"
"101","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"102","UDP-N-acetylglucosamine","UDP"
"103","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"104","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"105","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"106","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"107","UDP","UDP-N-acetylglucosamine"
"108","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"109","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"110","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"111","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"112","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"113","H2O","Pyruvate"
"114","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"115","Isochorismate","Pyruvate"
"116","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"117","ATP","PPi"
"118","ATP","AMP"
"119","ATP","fa6coa"
"120","CoA","PPi"
"121","CoA","AMP"
"122","CoA","fa6coa"
"123","fa6","PPi"
"124","fa6","AMP"
"125","fa6","fa6coa"
"126","ATP","ADP"
"127","ATP","Phosphate"
"128","ATP","H+"
"129","ATP","gamma-Glutamylcysteine"
"130","L-Glutamate","ADP"
"131","L-Glutamate","Phosphate"
"132","L-Glutamate","H+"
"133","L-Glutamate","gamma-Glutamylcysteine"
"134","L-Cysteine","ADP"
"135","L-Cysteine","Phosphate"
"136","L-Cysteine","H+"
