"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","H2O","N-Acyl-L-aspartate"
"26","H2O","L-Aspartate"
"27","H2O","Carboxylic acid"
"28","N-Acyl-L-aspartate","H2O"
"29","N-Acyl-L-aspartate","L-Aspartate"
"30","N-Acyl-L-aspartate","Carboxylic acid"
"31","L-Aspartate","H2O"
"32","L-Aspartate","N-Acyl-L-aspartate"
"33","L-Aspartate","Carboxylic acid"
"34","Carboxylic acid","H2O"
"35","Carboxylic acid","N-Acyl-L-aspartate"
"36","Carboxylic acid","L-Aspartate"
"37","S-Adenosyl-L-methionine","L-Methionine"
"38","S-Adenosyl-L-methionine","H+"
"39","S-Adenosyl-L-methionine","BIOT"
"40","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"41","S","L-Methionine"
"42","S","H+"
"43","S","BIOT"
"44","S","5'-Deoxyadenosine"
"45","Dethiobiotin","L-Methionine"
"46","Dethiobiotin","H+"
"47","Dethiobiotin","BIOT"
"48","Dethiobiotin","5'-Deoxyadenosine"
"49","H2O","ADP"
"50","H2O","Phosphate"
"51","H2O","H+"
"52","ATP","ADP"
"53","ATP","Phosphate"
"54","ATP","H+"
"55","H2O","LacCer"
"56","H2O","Galactose"
"57","H2O","Glucocerebroside"
"58","LacCer","H2O"
"59","LacCer","Galactose"
"60","LacCer","Glucocerebroside"
"61","Galactose","H2O"
"62","Galactose","LacCer"
"63","Galactose","Glucocerebroside"
"64","Glucocerebroside","H2O"
"65","Glucocerebroside","LacCer"
"66","Glucocerebroside","Galactose"
"67","Acetyl-CoA","CoA"
"68","Acetyl-CoA","O-Acetyl-L-serine"
"69","L-Serine","CoA"
"70","L-Serine","O-Acetyl-L-serine"
"71","ATP","CMP"
"72","ATP","H+"
"73","ATP","ADP"
"74","ATP","CDP"
"75","CMP","ATP"
"76","CMP","H+"
"77","CMP","ADP"
"78","CMP","CDP"
"79","H+","ATP"
"80","H+","CMP"
"81","H+","ADP"
"82","H+","CDP"
"83","ADP","ATP"
"84","ADP","CMP"
"85","ADP","H+"
"86","ADP","CDP"
"87","CDP","ATP"
"88","CDP","CMP"
"89","CDP","H+"
"90","CDP","ADP"
"91","Isobutyryl-CoA","Butyryl-CoA"
"92","Butyryl-CoA","Isobutyryl-CoA"
"93","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"94","UDP-N-acetylglucosamine","UDP"
"95","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"96","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"97","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"98","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"99","UDP","UDP-N-acetylglucosamine"
"100","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"101","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"102","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"103","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"104","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"105","H2O","Pyruvate"
"106","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"107","Isochorismate","Pyruvate"
"108","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"109","ATP","PPi"
"110","ATP","AMP"
"111","ATP","fa6coa"
"112","CoA","PPi"
"113","CoA","AMP"
"114","CoA","fa6coa"
"115","fa6","PPi"
"116","fa6","AMP"
"117","fa6","fa6coa"
"118","ATP","ADP"
"119","ATP","Phosphate"
"120","ATP","H+"
"121","ATP","gamma-Glutamylcysteine"
"122","L-Glutamate","ADP"
"123","L-Glutamate","Phosphate"
"124","L-Glutamate","H+"
"125","L-Glutamate","gamma-Glutamylcysteine"
"126","L-Cysteine","ADP"
"127","L-Cysteine","Phosphate"
"128","L-Cysteine","H+"
"129","L-Cysteine","gamma-Glutamylcysteine"
"130","NADH","NAD"
"131","NADH","7-methyl-octanoyl-ACP"
