"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","PRPP","PPi"
"8","PRPP","H+"
"9","PRPP","IMP"
"10","HYXN","PPi"
"11","HYXN","H+"
"12","HYXN","IMP"
"13","H2O","N-Acyl-L-aspartate"
"14","H2O","L-Aspartate"
"15","H2O","Carboxylic acid"
"16","N-Acyl-L-aspartate","H2O"
"17","N-Acyl-L-aspartate","L-Aspartate"
"18","N-Acyl-L-aspartate","Carboxylic acid"
"19","L-Aspartate","H2O"
"20","L-Aspartate","N-Acyl-L-aspartate"
"21","L-Aspartate","Carboxylic acid"
"22","Carboxylic acid","H2O"
"23","Carboxylic acid","N-Acyl-L-aspartate"
"24","Carboxylic acid","L-Aspartate"
"25","Acetyl-CoA","CoA"
"26","Acetyl-CoA","O-Acetyl-L-serine"
"27","L-Serine","CoA"
"28","L-Serine","O-Acetyl-L-serine"
"29","ATP","CMP"
"30","ATP","H+"
"31","ATP","ADP"
"32","ATP","CDP"
"33","CMP","ATP"
"34","CMP","H+"
"35","CMP","ADP"
"36","CMP","CDP"
"37","H+","ATP"
"38","H+","CMP"
"39","H+","ADP"
"40","H+","CDP"
"41","ADP","ATP"
"42","ADP","CMP"
"43","ADP","H+"
"44","ADP","CDP"
"45","CDP","ATP"
"46","CDP","CMP"
"47","CDP","H+"
"48","CDP","ADP"
"49","H+","Fumarate"
"50","H+","Fumarate"
"51","Fumarate","H+"
"52","Fumarate","H+"
"53","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"54","UDP-N-acetylglucosamine","UDP"
"55","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"56","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"57","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"58","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"59","UDP","UDP-N-acetylglucosamine"
"60","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"61","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"62","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"63","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"64","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"65","H2O","Pyruvate"
"66","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"67","Isochorismate","Pyruvate"
"68","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"69","ATP","PPi"
"70","ATP","AMP"
"71","ATP","fa6coa"
"72","CoA","PPi"
"73","CoA","AMP"
"74","CoA","fa6coa"
"75","fa6","PPi"
"76","fa6","AMP"
"77","fa6","fa6coa"
"78","ATP","dCDP"
"79","ATP","ADP"
"80","ATP","dCTP"
"81","dCDP","ATP"
"82","dCDP","ADP"
"83","dCDP","dCTP"
"84","ADP","ATP"
"85","ADP","dCDP"
"86","ADP","dCTP"
"87","dCTP","ATP"
"88","dCTP","dCDP"
"89","dCTP","ADP"
"90","trans-4-Hydroxy-L-proline","cis-4-Hydroxy-D-proline"
"91","cis-4-Hydroxy-D-proline","trans-4-Hydroxy-L-proline"
"92","Lipoamide","2-Hydroxyethyl-ThPP"
"93","Lipoamide","TPP"
"94","Lipoamide","S-Acetyldihydrolipoamide"
"95","2-Hydroxyethyl-ThPP","Lipoamide"
"96","2-Hydroxyethyl-ThPP","TPP"
"97","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
"98","TPP","Lipoamide"
"99","TPP","2-Hydroxyethyl-ThPP"
"100","TPP","S-Acetyldihydrolipoamide"
"101","S-Acetyldihydrolipoamide","Lipoamide"
"102","S-Acetyldihydrolipoamide","2-Hydroxyethyl-ThPP"
"103","S-Acetyldihydrolipoamide","TPP"
"104","NADP","(S)-3-Hydroxybutyryl-CoA"
"105","NADP","NADPH"
"106","NADP","H+"
"107","NADP","Acetoacetyl-CoA"
"108","(S)-3-Hydroxybutyryl-CoA","NADP"
"109","(S)-3-Hydroxybutyryl-CoA","NADPH"
"110","(S)-3-Hydroxybutyryl-CoA","H+"
"111","(S)-3-Hydroxybutyryl-CoA","Acetoacetyl-CoA"
"112","NADPH","NADP"
"113","NADPH","(S)-3-Hydroxybutyryl-CoA"
"114","NADPH","H+"
"115","NADPH","Acetoacetyl-CoA"
"116","H+","NADP"
"117","H+","(S)-3-Hydroxybutyryl-CoA"
"118","H+","NADPH"
"119","H+","Acetoacetyl-CoA"
"120","Acetoacetyl-CoA","NADP"
