"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","Acetyl-CoA","CoA"
"26","Acetyl-CoA","O-Acetyl-L-serine"
"27","L-Serine","CoA"
"28","L-Serine","O-Acetyl-L-serine"
"29","ATP","CMP"
"30","ATP","H+"
"31","ATP","ADP"
"32","ATP","CDP"
"33","CMP","ATP"
"34","CMP","H+"
"35","CMP","ADP"
"36","CMP","CDP"
"37","H+","ATP"
"38","H+","CMP"
"39","H+","ADP"
"40","H+","CDP"
"41","ADP","ATP"
"42","ADP","CMP"
"43","ADP","H+"
"44","ADP","CDP"
"45","CDP","ATP"
"46","CDP","CMP"
"47","CDP","H+"
"48","CDP","ADP"
"49","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"50","UDP-N-acetylglucosamine","UDP"
"51","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"52","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"53","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"54","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"55","UDP","UDP-N-acetylglucosamine"
"56","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"57","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"58","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"59","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"60","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"61","H2O","Pyruvate"
"62","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"63","Isochorismate","Pyruvate"
"64","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"65","ATP","PPi"
"66","ATP","AMP"
"67","ATP","fa6coa"
"68","CoA","PPi"
"69","CoA","AMP"
"70","CoA","fa6coa"
"71","fa6","PPi"
"72","fa6","AMP"
"73","fa6","fa6coa"
"74","ATP","ADP"
"75","ATP","Phosphate"
"76","ATP","H+"
"77","ATP","gamma-Glutamylcysteine"
"78","L-Glutamate","ADP"
"79","L-Glutamate","Phosphate"
"80","L-Glutamate","H+"
"81","L-Glutamate","gamma-Glutamylcysteine"
"82","L-Cysteine","ADP"
"83","L-Cysteine","Phosphate"
"84","L-Cysteine","H+"
"85","L-Cysteine","gamma-Glutamylcysteine"
"86","NADH","NAD"
"87","NADH","7-methyl-octanoyl-ACP"
"88","H+","NAD"
"89","H+","7-methyl-octanoyl-ACP"
"90","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"91","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"92","ATP","dCDP"
"93","ATP","ADP"
"94","ATP","dCTP"
"95","dCDP","ATP"
"96","dCDP","ADP"
"97","dCDP","dCTP"
"98","ADP","ATP"
"99","ADP","dCDP"
"100","ADP","dCTP"
"101","dCTP","ATP"
"102","dCTP","dCDP"
"103","dCTP","ADP"
"104","ATP","ADP"
"105","ATP","CO2"
"106","ATP","Phosphoenolpyruvate"
"107","Oxaloacetate","ADP"
"108","Oxaloacetate","CO2"
"109","Oxaloacetate","Phosphoenolpyruvate"
"110","H+","Nitrite"
"111","H+","Nitrite"
"112","Nitrite","H+"
"113","Nitrite","H+"
"114","Lipoamide","2-Hydroxyethyl-ThPP"
"115","Lipoamide","TPP"
"116","Lipoamide","S-Acetyldihydrolipoamide"
"117","2-Hydroxyethyl-ThPP","Lipoamide"
"118","2-Hydroxyethyl-ThPP","TPP"
"119","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
"120","TPP","Lipoamide"
"121","TPP","2-Hydroxyethyl-ThPP"
"122","TPP","S-Acetyldihydrolipoamide"
"123","S-Acetyldihydrolipoamide","Lipoamide"
"124","S-Acetyldihydrolipoamide","2-Hydroxyethyl-ThPP"
"125","S-Acetyldihydrolipoamide","TPP"
"126","NADP","(S)-3-Hydroxybutyryl-CoA"
"127","NADP","NADPH"
"128","NADP","H+"
"129","NADP","Acetoacetyl-CoA"
