"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"8","Lipoamide","TPP"
"9","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"10","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"11","2-Methyl-1-hydroxypropyl-TPP","TPP"
"12","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"13","TPP","Lipoamide"
"14","TPP","2-Methyl-1-hydroxypropyl-TPP"
"15","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"16","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"17","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"18","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","H2O","N-Acyl-L-aspartate"
"26","H2O","L-Aspartate"
"27","H2O","Carboxylic acid"
"28","N-Acyl-L-aspartate","H2O"
"29","N-Acyl-L-aspartate","L-Aspartate"
"30","N-Acyl-L-aspartate","Carboxylic acid"
"31","L-Aspartate","H2O"
"32","L-Aspartate","N-Acyl-L-aspartate"
"33","L-Aspartate","Carboxylic acid"
"34","Carboxylic acid","H2O"
"35","Carboxylic acid","N-Acyl-L-aspartate"
"36","Carboxylic acid","L-Aspartate"
"37","S-Adenosyl-L-methionine","L-Methionine"
"38","S-Adenosyl-L-methionine","H+"
"39","S-Adenosyl-L-methionine","BIOT"
"40","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"41","S","L-Methionine"
"42","S","H+"
"43","S","BIOT"
"44","S","5'-Deoxyadenosine"
"45","Dethiobiotin","L-Methionine"
"46","Dethiobiotin","H+"
"47","Dethiobiotin","BIOT"
"48","Dethiobiotin","5'-Deoxyadenosine"
"49","H+","Adenosine"
"50","H+","Adenosine"
"51","Adenosine","H+"
"52","Adenosine","H+"
"53","H2O","ADP"
"54","H2O","Phosphate"
"55","H2O","H+"
"56","ATP","ADP"
"57","ATP","Phosphate"
"58","ATP","H+"
"59","ATP","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"60","ATP","ADP"
"61","ATP","H+"
"62","ATP","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"63","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","ATP"
"64","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","ADP"
"65","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","H+"
"66","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"67","ADP","ATP"
"68","ADP","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"69","ADP","H+"
"70","ADP","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"71","H+","ATP"
"72","H+","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"73","H+","ADP"
"74","H+","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"75","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","ATP"
"76","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA"
"77","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","ADP"
"78","phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","H+"
"79","Acetyl-CoA","CoA"
"80","Acetyl-CoA","O-Acetyl-L-serine"
"81","L-Serine","CoA"
"82","L-Serine","O-Acetyl-L-serine"
"83","ATP","CMP"
"84","ATP","H+"
"85","ATP","ADP"
"86","ATP","CDP"
"87","CMP","ATP"
"88","CMP","H+"
"89","CMP","ADP"
"90","CMP","CDP"
"91","H+","ATP"
"92","H+","CMP"
"93","H+","ADP"
"94","H+","CDP"
"95","ADP","ATP"
"96","ADP","CMP"
"97","ADP","H+"
"98","ADP","CDP"
"99","CDP","ATP"
"100","CDP","CMP"
"101","CDP","H+"
"102","CDP","ADP"
"103","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"104","UDP-N-acetylglucosamine","UDP"
"105","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"106","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"107","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"108","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"109","UDP","UDP-N-acetylglucosamine"
"110","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"111","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
