"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","PRPP","PPi"
"8","PRPP","H+"
"9","PRPP","IMP"
"10","HYXN","PPi"
"11","HYXN","H+"
"12","HYXN","IMP"
"13","NAD","(R)-1,2-Propanediol"
"14","NAD","NADH"
"15","NAD","H+"
"16","NAD","D-Lactaldehyde"
"17","(R)-1,2-Propanediol","NAD"
"18","(R)-1,2-Propanediol","NADH"
"19","(R)-1,2-Propanediol","H+"
"20","(R)-1,2-Propanediol","D-Lactaldehyde"
"21","NADH","NAD"
"22","NADH","(R)-1,2-Propanediol"
"23","NADH","H+"
"24","NADH","D-Lactaldehyde"
"25","H+","NAD"
"26","H+","(R)-1,2-Propanediol"
"27","H+","NADH"
"28","H+","D-Lactaldehyde"
"29","D-Lactaldehyde","NAD"
"30","D-Lactaldehyde","(R)-1,2-Propanediol"
"31","D-Lactaldehyde","NADH"
"32","D-Lactaldehyde","H+"
"33","S-Adenosyl-L-methionine","L-Methionine"
"34","S-Adenosyl-L-methionine","H+"
"35","S-Adenosyl-L-methionine","BIOT"
"36","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"37","S","L-Methionine"
"38","S","H+"
"39","S","BIOT"
"40","S","5'-Deoxyadenosine"
"41","Dethiobiotin","L-Methionine"
"42","Dethiobiotin","H+"
"43","Dethiobiotin","BIOT"
"44","Dethiobiotin","5'-Deoxyadenosine"
"45","H+","Adenosine"
"46","H+","Adenosine"
"47","Adenosine","H+"
"48","Adenosine","H+"
"49","H2O","ADP"
"50","H2O","Phosphate"
"51","H2O","H+"
"52","ATP","ADP"
"53","ATP","Phosphate"
"54","ATP","H+"
"55","H2O","LacCer"
"56","H2O","Galactose"
"57","H2O","Glucocerebroside"
"58","LacCer","H2O"
"59","LacCer","Galactose"
"60","LacCer","Glucocerebroside"
"61","Galactose","H2O"
"62","Galactose","LacCer"
"63","Galactose","Glucocerebroside"
"64","Glucocerebroside","H2O"
"65","Glucocerebroside","LacCer"
"66","Glucocerebroside","Galactose"
"67","Acetyl-CoA","CoA"
"68","Acetyl-CoA","O-Acetyl-L-serine"
"69","L-Serine","CoA"
"70","L-Serine","O-Acetyl-L-serine"
"71","ATP","CMP"
"72","ATP","H+"
"73","ATP","ADP"
"74","ATP","CDP"
"75","CMP","ATP"
"76","CMP","H+"
"77","CMP","ADP"
"78","CMP","CDP"
"79","H+","ATP"
"80","H+","CMP"
"81","H+","ADP"
"82","H+","CDP"
"83","ADP","ATP"
"84","ADP","CMP"
"85","ADP","H+"
"86","ADP","CDP"
"87","CDP","ATP"
"88","CDP","CMP"
"89","CDP","H+"
"90","CDP","ADP"
"91","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"92","UDP-N-acetylglucosamine","UDP"
"93","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"94","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"95","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"96","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"97","UDP","UDP-N-acetylglucosamine"
"98","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"99","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"100","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"101","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"102","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"103","ATP","PPi"
"104","ATP","AMP"
"105","ATP","fa6coa"
"106","CoA","PPi"
"107","CoA","AMP"
"108","CoA","fa6coa"
"109","fa6","PPi"
"110","fa6","AMP"
"111","fa6","fa6coa"
"112","NADH","NAD"
"113","NADH","7-methyl-octanoyl-ACP"
"114","H+","NAD"
"115","H+","7-methyl-octanoyl-ACP"
"116","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"117","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"118","ATP","ADP"
"119","ATP","CO2"
"120","ATP","Phosphoenolpyruvate"
"121","Oxaloacetate","ADP"
"122","Oxaloacetate","CO2"
"123","Oxaloacetate","Phosphoenolpyruvate"
"124","GDP-mannose","H2O"
"125","GDP-mannose","GDP-4-dehydro-D-rhamnose"
"126","H2O","D-Glucose"
"127","Maltose","D-Glucose"
"128","Citrate","Isocitrate"
"129","Isocitrate","Citrate"
"130","dTDP-4-oxo-6-deoxy-D-glucose","dTDP-4-oxo-L-rhamnose"
