"","from","to"
"7200","Cys-Gly","Glycine"
"7201","Cys-Gly","L-Cysteine"
"7202","Glycine","H2O"
"7203","Glycine","Cys-Gly"
"7204","Glycine","L-Cysteine"
"7205","L-Cysteine","H2O"
"7206","L-Cysteine","Cys-Gly"
"7207","L-Cysteine","Glycine"
"7208","H2O","Phosphate"
"7209","H2O","H+"
"7210","H2O","Dihydroneopterin"
"7211","7,8-Dihydroneopterin 3'-triphosphate","Phosphate"
"7212","7,8-Dihydroneopterin 3'-triphosphate","H+"
"7213","7,8-Dihydroneopterin 3'-triphosphate","Dihydroneopterin"
"7214","H2O","Phosphate"
"7215","H2O","H+"
"7216","H2O","3-Phosphoglycerate"
"7217","1,3-Bisphospho-D-glycerate","Phosphate"
"7218","1,3-Bisphospho-D-glycerate","H+"
"7219","1,3-Bisphospho-D-glycerate","3-Phosphoglycerate"
"7220","NADH","H+"
"7221","NADH","Dihydrobiopterin"
"7222","NADH","NAD"
"7223","NADH","Tetrahydrobiopterin"
"7224","H+","NADH"
"7225","H+","Dihydrobiopterin"
"7226","H+","NAD"
"7227","H+","Tetrahydrobiopterin"
"7228","Dihydrobiopterin","NADH"
"7229","Dihydrobiopterin","H+"
"7230","Dihydrobiopterin","NAD"
"7231","Dihydrobiopterin","Tetrahydrobiopterin"
"7232","NAD","NADH"
"7233","NAD","H+"
"7234","NAD","Dihydrobiopterin"
"7235","NAD","Tetrahydrobiopterin"
"7236","Tetrahydrobiopterin","NADH"
"7237","Tetrahydrobiopterin","H+"
"7238","Tetrahydrobiopterin","Dihydrobiopterin"
"7239","Tetrahydrobiopterin","NAD"
"7240","ATP","IDP"
"7241","ATP","ADP"
"7242","ATP","ITP"
"7243","IDP","ATP"
"7244","IDP","ADP"
"7245","IDP","ITP"
"7246","ADP","ATP"
"7247","ADP","IDP"
"7248","ADP","ITP"
"7249","ITP","ATP"
"7250","ITP","IDP"
"7251","ITP","ADP"
"7252","H2O","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl"
"7253","H2O","H+"
"7254","H2O","Glycerophosphoglycerol"
"7255","H2O","Myristic acid"
"7256","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl","H2O"
"7257","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl","H+"
"7258","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl","Glycerophosphoglycerol"
"7259","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl","Myristic acid"
"7260","H+","H2O"
"7261","H+","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl"
"7262","H+","Glycerophosphoglycerol"
"7263","H+","Myristic acid"
"7264","Glycerophosphoglycerol","H2O"
"7265","Glycerophosphoglycerol","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl"
"7266","Glycerophosphoglycerol","H+"
"7267","Glycerophosphoglycerol","Myristic acid"
"7268","Myristic acid","H2O"
"7269","Myristic acid","2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl"
"7270","Myristic acid","H+"
"7271","Myristic acid","Glycerophosphoglycerol"
"7272","NADPH","H+"
"7273","NADPH","11-methyl-3-oxo-dodecanoyl-ACP"
"7274","NADPH","NADP"
"7275","NADPH","11-methyl-3-hydroxy-dodecanoyl-ACP"
"7276","H+","NADPH"
"7277","H+","11-methyl-3-oxo-dodecanoyl-ACP"
"7278","H+","NADP"
"7279","H+","11-methyl-3-hydroxy-dodecanoyl-ACP"
"7280","11-methyl-3-oxo-dodecanoyl-ACP","NADPH"
"7281","11-methyl-3-oxo-dodecanoyl-ACP","H+"
"7282","11-methyl-3-oxo-dodecanoyl-ACP","NADP"
"7283","11-methyl-3-oxo-dodecanoyl-ACP","11-methyl-3-hydroxy-dodecanoyl-ACP"
"7284","NADP","NADPH"
"7285","NADP","H+"
"7286","NADP","11-methyl-3-oxo-dodecanoyl-ACP"
"7287","NADP","11-methyl-3-hydroxy-dodecanoyl-ACP"
"7288","11-methyl-3-hydroxy-dodecanoyl-ACP","NADPH"
"7289","11-methyl-3-hydroxy-dodecanoyl-ACP","H+"
"7290","11-methyl-3-hydroxy-dodecanoyl-ACP","11-methyl-3-oxo-dodecanoyl-ACP"
"7291","11-methyl-3-hydroxy-dodecanoyl-ACP","NADP"
"7292","H+","Tetrahydrofolate"
"7293","H+","N-Formyl-GAR"
"7294","H+","H2O"
"7295","H+","5-10-Methenyltetrahydrofolate"
"7296","H+","GAR"
"7297","Tetrahydrofolate","H+"
"7298","Tetrahydrofolate","N-Formyl-GAR"
"7299","Tetrahydrofolate","H2O"
"7300","Tetrahydrofolate","5-10-Methenyltetrahydrofolate"
"7301","Tetrahydrofolate","GAR"
"7302","N-Formyl-GAR","H+"
"7303","N-Formyl-GAR","Tetrahydrofolate"
"7304","N-Formyl-GAR","H2O"
"7305","N-Formyl-GAR","5-10-Methenyltetrahydrofolate"
"7306","N-Formyl-GAR","GAR"
"7307","H2O","H+"
"7308","H2O","Tetrahydrofolate"
"7309","H2O","N-Formyl-GAR"
"7310","H2O","5-10-Methenyltetrahydrofolate"
"7311","H2O","GAR"
"7312","5-10-Methenyltetrahydrofolate","H+"
"7313","5-10-Methenyltetrahydrofolate","Tetrahydrofolate"
"7314","5-10-Methenyltetrahydrofolate","N-Formyl-GAR"
"7315","5-10-Methenyltetrahydrofolate","H2O"
"7316","5-10-Methenyltetrahydrofolate","GAR"
"7317","GAR","H+"
"7318","GAR","Tetrahydrofolate"
"7319","GAR","N-Formyl-GAR"
"7320","GAR","H2O"
"7321","GAR","5-10-Methenyltetrahydrofolate"
"7322","Carbamoylphosphate","Phosphate"
"7323","Carbamoylphosphate","H+"
"7324","Carbamoylphosphate","N-Acetyl-L-citrulline"
"7325","N-Acetylornithine","Phosphate"
"7326","N-Acetylornithine","H+"
"7327","N-Acetylornithine","N-Acetyl-L-citrulline"
"7328","2,3-Dihydroxy-3-methylvalerate","H2O"
"7329","2,3-Dihydroxy-3-methylvalerate","3MOP"
"7330","ATP","dGDP"
"7331","ATP","ADP"
"7332","ATP","dGTP"
"7333","dGDP","ATP"
"7334","dGDP","ADP"
"7335","dGDP","dGTP"
"7336","ADP","ATP"
"7337","ADP","dGDP"
"7338","ADP","dGTP"
"7339","dGTP","ATP"
"7340","dGTP","dGDP"
"7341","dGTP","ADP"
"7342","H+","Diisopentadecanoylphosphatidylserine"
"7343","H+","CO2"
"7344","H+","Diisopentadecanoylphosphatidylethanolamine"
"7345","Diisopentadecanoylphosphatidylserine","H+"
"7346","Diisopentadecanoylphosphatidylserine","CO2"
"7347","Diisopentadecanoylphosphatidylserine","Diisopentadecanoylphosphatidylethanolamine"
"7348","CO2","H+"
"7349","CO2","Diisopentadecanoylphosphatidylserine"
"7350","CO2","Diisopentadecanoylphosphatidylethanolamine"
"7351","Diisopentadecanoylphosphatidylethanolamine","H+"
"7352","Diisopentadecanoylphosphatidylethanolamine","Diisopentadecanoylphosphatidylserine"
"7353","Diisopentadecanoylphosphatidylethanolamine","CO2"
"7354","H2O","ala-L-asp-L"
"7355","H2O","L-Alanine"
"7356","H2O","L-Aspartate"
"7357","ala-L-asp-L","H2O"
"7358","ala-L-asp-L","L-Alanine"
"7359","ala-L-asp-L","L-Aspartate"
"7360","L-Alanine","H2O"
"7361","L-Alanine","ala-L-asp-L"
"7362","L-Alanine","L-Aspartate"
"7363","L-Aspartate","H2O"
"7364","L-Aspartate","ala-L-asp-L"
"7365","L-Aspartate","L-Alanine"
"7366","H2O","Phosphate"
"7367","H2O","L-Inositol"
"7368","Inositol 4-phosphate","Phosphate"
"7369","Inositol 4-phosphate","L-Inositol"
"7370","H2O","NH3"
"7371","H2O","D-fructose-6-phosphate"
"7372","D-Glucosamine phosphate","NH3"
"7373","D-Glucosamine phosphate","D-fructose-6-phosphate"
"7374","L-Glutamate","H2O"
"7375","L-Glutamate","N-Formimino-L-glutamate"
"7376","Formamide","H2O"
"7377","Formamide","N-Formimino-L-glutamate"
"7378","Malonyl-acyl-carrierprotein-","CO2"
"7379","Malonyl-acyl-carrierprotein-","ACP"
"7380","Malonyl-acyl-carrierprotein-","4-methyl-3-oxo-pentanoyl-ACP"
"7381","isobutyryl-ACP","CO2"
"7382","isobutyryl-ACP","ACP"
"7383","isobutyryl-ACP","4-methyl-3-oxo-pentanoyl-ACP"
"7384","NAD","D-Altronate"
"7385","NAD","NADH"
"7386","NAD","H+"
"7387","NAD","D-Tagaturonate"
"7388","D-Altronate","NAD"
"7389","D-Altronate","NADH"
"7390","D-Altronate","H+"
"7391","D-Altronate","D-Tagaturonate"
"7392","NADH","NAD"
"7393","NADH","D-Altronate"
"7394","NADH","H+"
"7395","NADH","D-Tagaturonate"
"7396","H+","NAD"
"7397","H+","D-Altronate"
"7398","H+","NADH"
"7399","H+","D-Tagaturonate"
"7400","D-Tagaturonate","NAD"
"7401","D-Tagaturonate","D-Altronate"
"7402","D-Tagaturonate","NADH"
"7403","D-Tagaturonate","H+"
"7404","UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine","UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
"7405","UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine","ACP"
"7406","HMA","UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
"7407","HMA","ACP"
"7408","H+","meso-2,6-Diaminopimelate"
"7409","H+","CO2"
"7410","H+","L-Lysine"
"7411","meso-2,6-Diaminopimelate","H+"
"7412","meso-2,6-Diaminopimelate","CO2"
"7413","meso-2,6-Diaminopimelate","L-Lysine"
"7414","CO2","H+"
"7415","CO2","meso-2,6-Diaminopimelate"
"7416","CO2","L-Lysine"
"7417","L-Lysine","H+"
"7418","L-Lysine","meso-2,6-Diaminopimelate"
"7419","L-Lysine","CO2"
"7420","NADH","CO2"
"7421","NADH","2-Oxobutyrate"
"7422","NADH","NAD"
"7423","NADH","D-erythro-3-Methylmalate"
"7424","CO2","NADH"
"7425","CO2","2-Oxobutyrate"
"7426","CO2","NAD"
"7427","CO2","D-erythro-3-Methylmalate"
"7428","2-Oxobutyrate","NADH"
"7429","2-Oxobutyrate","CO2"
"7430","2-Oxobutyrate","NAD"
"7431","2-Oxobutyrate","D-erythro-3-Methylmalate"
"7432","NAD","NADH"
"7433","NAD","CO2"
"7434","NAD","2-Oxobutyrate"
"7435","NAD","D-erythro-3-Methylmalate"
"7436","D-erythro-3-Methylmalate","NADH"
"7437","D-erythro-3-Methylmalate","CO2"
"7438","D-erythro-3-Methylmalate","2-Oxobutyrate"
"7439","D-erythro-3-Methylmalate","NAD"
"7440","UDP-glucose","H2O"
"7441","UDP-glucose","UDP-4-oxo-6-deoxy-D-glucose"
"7442","H2O","UDP-glucose"
"7443","H2O","UDP-4-oxo-6-deoxy-D-glucose"
"7444","UDP-4-oxo-6-deoxy-D-glucose","UDP-glucose"
"7445","UDP-4-oxo-6-deoxy-D-glucose","H2O"
"7446","Glycine","Na+"
"7447","Glycine","Na+"
"7448","Na+","Glycine"
"7449","Na+","Glycine"
"7450","H2O","AMP"
"7451","H2O","H+"
"7452","H2O","ribose-5-phosphate"
"7453","ADPribose","AMP"
"7454","ADPribose","H+"
"7455","ADPribose","ribose-5-phosphate"
"7456","NADPH","H+"
"7457","NADPH","15-methyl-3-oxo-hexa-decanoyl-ACP"
"7458","NADPH","NADP"
"7459","NADPH","15-methyl-3-hydroxy-hexa-decanoyl-ACP"
"7460","H+","NADPH"
"7461","H+","15-methyl-3-oxo-hexa-decanoyl-ACP"
"7462","H+","NADP"
"7463","H+","15-methyl-3-hydroxy-hexa-decanoyl-ACP"
"7464","15-methyl-3-oxo-hexa-decanoyl-ACP","NADPH"
"7465","15-methyl-3-oxo-hexa-decanoyl-ACP","H+"
"7466","15-methyl-3-oxo-hexa-decanoyl-ACP","NADP"
"7467","15-methyl-3-oxo-hexa-decanoyl-ACP","15-methyl-3-hydroxy-hexa-decanoyl-ACP"
"7468","NADP","NADPH"
"7469","NADP","H+"
"7470","NADP","15-methyl-3-oxo-hexa-decanoyl-ACP"
"7471","NADP","15-methyl-3-hydroxy-hexa-decanoyl-ACP"
"7472","15-methyl-3-hydroxy-hexa-decanoyl-ACP","NADPH"
