"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","PRPP","PPi"
"8","PRPP","H+"
"9","PRPP","IMP"
"10","HYXN","PPi"
"11","HYXN","H+"
"12","HYXN","IMP"
"13","H2O","N-Acyl-L-aspartate"
"14","H2O","L-Aspartate"
"15","H2O","Carboxylic acid"
"16","N-Acyl-L-aspartate","H2O"
"17","N-Acyl-L-aspartate","L-Aspartate"
"18","N-Acyl-L-aspartate","Carboxylic acid"
"19","L-Aspartate","H2O"
"20","L-Aspartate","N-Acyl-L-aspartate"
"21","L-Aspartate","Carboxylic acid"
"22","Carboxylic acid","H2O"
"23","Carboxylic acid","N-Acyl-L-aspartate"
"24","Carboxylic acid","L-Aspartate"
"25","S-Adenosyl-L-methionine","L-Methionine"
"26","S-Adenosyl-L-methionine","H+"
"27","S-Adenosyl-L-methionine","BIOT"
"28","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"29","S","L-Methionine"
"30","S","H+"
"31","S","BIOT"
"32","S","5'-Deoxyadenosine"
"33","Dethiobiotin","L-Methionine"
"34","Dethiobiotin","H+"
"35","Dethiobiotin","BIOT"
"36","Dethiobiotin","5'-Deoxyadenosine"
"37","Acetyl-CoA","CoA"
"38","Acetyl-CoA","O-Acetyl-L-serine"
"39","L-Serine","CoA"
"40","L-Serine","O-Acetyl-L-serine"
"41","ATP","CMP"
"42","ATP","H+"
"43","ATP","ADP"
"44","ATP","CDP"
"45","CMP","ATP"
"46","CMP","H+"
"47","CMP","ADP"
"48","CMP","CDP"
"49","H+","ATP"
"50","H+","CMP"
"51","H+","ADP"
"52","H+","CDP"
"53","ADP","ATP"
"54","ADP","CMP"
"55","ADP","H+"
"56","ADP","CDP"
"57","CDP","ATP"
"58","CDP","CMP"
"59","CDP","H+"
"60","CDP","ADP"
"61","H+","Fumarate"
"62","H+","Fumarate"
"63","Fumarate","H+"
"64","Fumarate","H+"
"65","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"66","UDP-N-acetylglucosamine","UDP"
"67","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"68","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"69","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"70","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"71","UDP","UDP-N-acetylglucosamine"
"72","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"73","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"74","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"75","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"76","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"77","ATP","PPi"
"78","ATP","AMP"
"79","ATP","fa6coa"
"80","CoA","PPi"
"81","CoA","AMP"
"82","CoA","fa6coa"
"83","fa6","PPi"
"84","fa6","AMP"
"85","fa6","fa6coa"
"86","NADH","NAD"
"87","NADH","7-methyl-octanoyl-ACP"
"88","H+","NAD"
"89","H+","7-methyl-octanoyl-ACP"
"90","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"91","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"92","ATP","dCDP"
"93","ATP","ADP"
"94","ATP","dCTP"
"95","dCDP","ATP"
"96","dCDP","ADP"
"97","dCDP","dCTP"
"98","ADP","ATP"
"99","ADP","dCDP"
"100","ADP","dCTP"
"101","dCTP","ATP"
"102","dCTP","dCDP"
"103","dCTP","ADP"
"104","ATP","ADP"
"105","ATP","CO2"
"106","ATP","Phosphoenolpyruvate"
"107","Oxaloacetate","ADP"
"108","Oxaloacetate","CO2"
"109","Oxaloacetate","Phosphoenolpyruvate"
"110","Lipoamide","2-Hydroxyethyl-ThPP"
"111","Lipoamide","TPP"
"112","Lipoamide","S-Acetyldihydrolipoamide"
"113","2-Hydroxyethyl-ThPP","Lipoamide"
"114","2-Hydroxyethyl-ThPP","TPP"
"115","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
"116","TPP","Lipoamide"
"117","TPP","2-Hydroxyethyl-ThPP"
"118","TPP","S-Acetyldihydrolipoamide"
"119","S-Acetyldihydrolipoamide","Lipoamide"
"120","S-Acetyldihydrolipoamide","2-Hydroxyethyl-ThPP"
"121","S-Acetyldihydrolipoamide","TPP"
"122","NADP","(S)-3-Hydroxybutyryl-CoA"
"123","NADP","NADPH"
"124","NADP","H+"
"125","NADP","Acetoacetyl-CoA"
