"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","S-Adenosyl-L-methionine","L-Methionine"
"8","S-Adenosyl-L-methionine","H+"
"9","S-Adenosyl-L-methionine","BIOT"
"10","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"11","S","L-Methionine"
"12","S","H+"
"13","S","BIOT"
"14","S","5'-Deoxyadenosine"
"15","Dethiobiotin","L-Methionine"
"16","Dethiobiotin","H+"
"17","Dethiobiotin","BIOT"
"18","Dethiobiotin","5'-Deoxyadenosine"
"19","Acetyl-CoA","CoA"
"20","Acetyl-CoA","O-Acetyl-L-serine"
"21","L-Serine","CoA"
"22","L-Serine","O-Acetyl-L-serine"
"23","H2O","1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
"24","H2O","H+"
"25","H2O","Palmitate"
"26","H2O","2-hexadecanoyl-sn-glycerol 3-phosphate"
"27","1,2-dihexadecanoyl-sn-glycerol 3-phosphate","H2O"
"28","1,2-dihexadecanoyl-sn-glycerol 3-phosphate","H+"
"29","1,2-dihexadecanoyl-sn-glycerol 3-phosphate","Palmitate"
"30","1,2-dihexadecanoyl-sn-glycerol 3-phosphate","2-hexadecanoyl-sn-glycerol 3-phosphate"
"31","H+","H2O"
"32","H+","1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
"33","H+","Palmitate"
"34","H+","2-hexadecanoyl-sn-glycerol 3-phosphate"
"35","Palmitate","H2O"
"36","Palmitate","1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
"37","Palmitate","H+"
"38","Palmitate","2-hexadecanoyl-sn-glycerol 3-phosphate"
"39","2-hexadecanoyl-sn-glycerol 3-phosphate","H2O"
"40","2-hexadecanoyl-sn-glycerol 3-phosphate","1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
"41","2-hexadecanoyl-sn-glycerol 3-phosphate","H+"
"42","2-hexadecanoyl-sn-glycerol 3-phosphate","Palmitate"
"43","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"44","UDP-N-acetylglucosamine","UDP"
"45","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"46","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"47","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"48","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"49","UDP","UDP-N-acetylglucosamine"
"50","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"51","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"52","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"53","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"54","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"55","ATP","PPi"
"56","ATP","AMP"
"57","ATP","fa6coa"
"58","CoA","PPi"
"59","CoA","AMP"
"60","CoA","fa6coa"
"61","fa6","PPi"
"62","fa6","AMP"
"63","fa6","fa6coa"
"64","NADH","NAD"
"65","NADH","7-methyl-octanoyl-ACP"
"66","H+","NAD"
"67","H+","7-methyl-octanoyl-ACP"
"68","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"69","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"70","ATP","dCDP"
"71","ATP","ADP"
"72","ATP","dCTP"
"73","dCDP","ATP"
"74","dCDP","ADP"
"75","dCDP","dCTP"
"76","ADP","ATP"
"77","ADP","dCDP"
"78","ADP","dCTP"
"79","dCTP","ATP"
"80","dCTP","dCDP"
"81","dCTP","ADP"
"82","ATP","ADP"
"83","ATP","CO2"
"84","ATP","Phosphoenolpyruvate"
"85","Oxaloacetate","ADP"
"86","Oxaloacetate","CO2"
"87","Oxaloacetate","Phosphoenolpyruvate"
"88","H+","Nitrite"
"89","H+","Nitrite"
"90","Nitrite","H+"
"91","Nitrite","H+"
"92","Lipoamide","2-Hydroxyethyl-ThPP"
"93","Lipoamide","TPP"
"94","Lipoamide","S-Acetyldihydrolipoamide"
"95","2-Hydroxyethyl-ThPP","Lipoamide"
"96","2-Hydroxyethyl-ThPP","TPP"
"97","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
"98","TPP","Lipoamide"
"99","TPP","2-Hydroxyethyl-ThPP"
"100","TPP","S-Acetyldihydrolipoamide"
"101","S-Acetyldihydrolipoamide","Lipoamide"
"102","S-Acetyldihydrolipoamide","2-Hydroxyethyl-ThPP"
"103","S-Acetyldihydrolipoamide","TPP"
"104","GDP-mannose","H2O"
