"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"8","Lipoamide","TPP"
"9","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"10","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"11","2-Methyl-1-hydroxypropyl-TPP","TPP"
"12","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"13","TPP","Lipoamide"
"14","TPP","2-Methyl-1-hydroxypropyl-TPP"
"15","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"16","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"17","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"18","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"19","S-Adenosyl-L-methionine","L-Methionine"
"20","S-Adenosyl-L-methionine","H+"
"21","S-Adenosyl-L-methionine","BIOT"
"22","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"23","S","L-Methionine"
"24","S","H+"
"25","S","BIOT"
"26","S","5'-Deoxyadenosine"
"27","Dethiobiotin","L-Methionine"
"28","Dethiobiotin","H+"
"29","Dethiobiotin","BIOT"
"30","Dethiobiotin","5'-Deoxyadenosine"
"31","H+","Adenosine"
"32","H+","Adenosine"
"33","Adenosine","H+"
"34","Adenosine","H+"
"35","ATP","CMP"
"36","ATP","H+"
"37","ATP","ADP"
"38","ATP","CDP"
"39","CMP","ATP"
"40","CMP","H+"
"41","CMP","ADP"
"42","CMP","CDP"
"43","H+","ATP"
"44","H+","CMP"
"45","H+","ADP"
"46","H+","CDP"
"47","ADP","ATP"
"48","ADP","CMP"
"49","ADP","H+"
"50","ADP","CDP"
"51","CDP","ATP"
"52","CDP","CMP"
"53","CDP","H+"
"54","CDP","ADP"
"55","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"56","UDP-N-acetylglucosamine","UDP"
"57","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"58","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"59","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"60","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"61","UDP","UDP-N-acetylglucosamine"
"62","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"63","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"64","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"65","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"66","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"67","ATP","PPi"
"68","ATP","AMP"
"69","ATP","fa6coa"
"70","CoA","PPi"
"71","CoA","AMP"
"72","CoA","fa6coa"
"73","fa6","PPi"
"74","fa6","AMP"
"75","fa6","fa6coa"
"76","NADH","NAD"
"77","NADH","7-methyl-octanoyl-ACP"
"78","H+","NAD"
"79","H+","7-methyl-octanoyl-ACP"
"80","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"81","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"82","FAD","H+"
"83","FAD","L-Malate"
"84","FAD","Oxaloacetate"
"85","FAD","FADH2"
"86","H+","FAD"
"87","H+","L-Malate"
"88","H+","Oxaloacetate"
"89","H+","FADH2"
"90","L-Malate","FAD"
"91","L-Malate","H+"
"92","L-Malate","Oxaloacetate"
"93","L-Malate","FADH2"
"94","Oxaloacetate","FAD"
"95","Oxaloacetate","H+"
"96","Oxaloacetate","L-Malate"
"97","Oxaloacetate","FADH2"
"98","FADH2","FAD"
"99","FADH2","H+"
"100","FADH2","L-Malate"
"101","FADH2","Oxaloacetate"
"102","ATP","dCDP"
"103","ATP","ADP"
"104","ATP","dCTP"
"105","dCDP","ATP"
"106","dCDP","ADP"
"107","dCDP","dCTP"
"108","ADP","ATP"
"109","ADP","dCDP"
"110","ADP","dCTP"
"111","dCTP","ATP"
"112","dCTP","dCDP"
"113","dCTP","ADP"
"114","ATP","ADP"
"115","ATP","CO2"
"116","ATP","Phosphoenolpyruvate"
"117","Oxaloacetate","ADP"
"118","Oxaloacetate","CO2"
"119","Oxaloacetate","Phosphoenolpyruvate"
"120","Lipoamide","2-Hydroxyethyl-ThPP"
"121","Lipoamide","TPP"
"122","Lipoamide","S-Acetyldihydrolipoamide"
"123","2-Hydroxyethyl-ThPP","Lipoamide"
"124","2-Hydroxyethyl-ThPP","TPP"
