"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","S-Adenosyl-L-methionine","L-Methionine"
"8","S-Adenosyl-L-methionine","H+"
"9","S-Adenosyl-L-methionine","BIOT"
"10","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"11","S","L-Methionine"
"12","S","H+"
"13","S","BIOT"
"14","S","5'-Deoxyadenosine"
"15","Dethiobiotin","L-Methionine"
"16","Dethiobiotin","H+"
"17","Dethiobiotin","BIOT"
"18","Dethiobiotin","5'-Deoxyadenosine"
"19","Acetyl-CoA","CoA"
"20","Acetyl-CoA","O-Acetyl-L-serine"
"21","L-Serine","CoA"
"22","L-Serine","O-Acetyl-L-serine"
"23","ATP","CMP"
"24","ATP","H+"
"25","ATP","ADP"
"26","ATP","CDP"
"27","CMP","ATP"
"28","CMP","H+"
"29","CMP","ADP"
"30","CMP","CDP"
"31","H+","ATP"
"32","H+","CMP"
"33","H+","ADP"
"34","H+","CDP"
"35","ADP","ATP"
"36","ADP","CMP"
"37","ADP","H+"
"38","ADP","CDP"
"39","CDP","ATP"
"40","CDP","CMP"
"41","CDP","H+"
"42","CDP","ADP"
"43","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"44","UDP-N-acetylglucosamine","UDP"
"45","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"46","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"47","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"48","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"49","UDP","UDP-N-acetylglucosamine"
"50","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"51","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"52","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"53","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"54","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"55","H2O","Pyruvate"
"56","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"57","Isochorismate","Pyruvate"
"58","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"59","ATP","PPi"
"60","ATP","AMP"
"61","ATP","fa6coa"
"62","CoA","PPi"
"63","CoA","AMP"
"64","CoA","fa6coa"
"65","fa6","PPi"
"66","fa6","AMP"
"67","fa6","fa6coa"
"68","ATP","ADP"
"69","ATP","Phosphate"
"70","ATP","H+"
"71","ATP","gamma-Glutamylcysteine"
"72","L-Glutamate","ADP"
"73","L-Glutamate","Phosphate"
"74","L-Glutamate","H+"
"75","L-Glutamate","gamma-Glutamylcysteine"
"76","L-Cysteine","ADP"
"77","L-Cysteine","Phosphate"
"78","L-Cysteine","H+"
"79","L-Cysteine","gamma-Glutamylcysteine"
"80","NADH","NAD"
"81","NADH","7-methyl-octanoyl-ACP"
"82","H+","NAD"
"83","H+","7-methyl-octanoyl-ACP"
"84","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"85","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"86","ATP","dCDP"
"87","ATP","ADP"
"88","ATP","dCTP"
"89","dCDP","ATP"
"90","dCDP","ADP"
"91","dCDP","dCTP"
"92","ADP","ATP"
"93","ADP","dCDP"
"94","ADP","dCTP"
"95","dCTP","ATP"
"96","dCTP","dCDP"
"97","dCTP","ADP"
"98","H+","Nitrite"
"99","H+","Nitrite"
"100","Nitrite","H+"
"101","Nitrite","H+"
"102","Lipoamide","2-Hydroxyethyl-ThPP"
"103","Lipoamide","TPP"
"104","Lipoamide","S-Acetyldihydrolipoamide"
"105","2-Hydroxyethyl-ThPP","Lipoamide"
"106","2-Hydroxyethyl-ThPP","TPP"
"107","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
"108","TPP","Lipoamide"
"109","TPP","2-Hydroxyethyl-ThPP"
"110","TPP","S-Acetyldihydrolipoamide"
"111","S-Acetyldihydrolipoamide","Lipoamide"
"112","S-Acetyldihydrolipoamide","2-Hydroxyethyl-ThPP"
"113","S-Acetyldihydrolipoamide","TPP"
"114","UDP-N-acetylglucosamine","Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted"
"115","UDP-N-acetylglucosamine","UDP"
"116","UDP-N-acetylglucosamine","Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"117","Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-N-acetylglucosamine"
