"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"8","Lipoamide","TPP"
"9","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"10","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"11","2-Methyl-1-hydroxypropyl-TPP","TPP"
"12","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"13","TPP","Lipoamide"
"14","TPP","2-Methyl-1-hydroxypropyl-TPP"
"15","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"16","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"17","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"18","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","H2O","N-Acyl-L-aspartate"
"26","H2O","L-Aspartate"
"27","H2O","Carboxylic acid"
"28","N-Acyl-L-aspartate","H2O"
"29","N-Acyl-L-aspartate","L-Aspartate"
"30","N-Acyl-L-aspartate","Carboxylic acid"
"31","L-Aspartate","H2O"
"32","L-Aspartate","N-Acyl-L-aspartate"
"33","L-Aspartate","Carboxylic acid"
"34","Carboxylic acid","H2O"
"35","Carboxylic acid","N-Acyl-L-aspartate"
"36","Carboxylic acid","L-Aspartate"
"37","S-Adenosyl-L-methionine","L-Methionine"
"38","S-Adenosyl-L-methionine","H+"
"39","S-Adenosyl-L-methionine","BIOT"
"40","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"41","S","L-Methionine"
"42","S","H+"
"43","S","BIOT"
"44","S","5'-Deoxyadenosine"
"45","Dethiobiotin","L-Methionine"
"46","Dethiobiotin","H+"
"47","Dethiobiotin","BIOT"
"48","Dethiobiotin","5'-Deoxyadenosine"
"49","H+","Adenosine"
"50","H+","Adenosine"
"51","Adenosine","H+"
"52","Adenosine","H+"
"53","Acetyl-CoA","CoA"
"54","Acetyl-CoA","O-Acetyl-L-serine"
"55","L-Serine","CoA"
"56","L-Serine","O-Acetyl-L-serine"
"57","ATP","CMP"
"58","ATP","H+"
"59","ATP","ADP"
"60","ATP","CDP"
"61","CMP","ATP"
"62","CMP","H+"
"63","CMP","ADP"
"64","CMP","CDP"
"65","H+","ATP"
"66","H+","CMP"
"67","H+","ADP"
"68","H+","CDP"
"69","ADP","ATP"
"70","ADP","CMP"
"71","ADP","H+"
"72","ADP","CDP"
"73","CDP","ATP"
"74","CDP","CMP"
"75","CDP","H+"
"76","CDP","ADP"
"77","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"78","UDP-N-acetylglucosamine","UDP"
"79","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"80","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"81","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"82","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"83","UDP","UDP-N-acetylglucosamine"
"84","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"85","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"86","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"87","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"88","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"89","ATP","PPi"
"90","ATP","AMP"
"91","ATP","fa6coa"
"92","CoA","PPi"
"93","CoA","AMP"
"94","CoA","fa6coa"
"95","fa6","PPi"
"96","fa6","AMP"
"97","fa6","fa6coa"
"98","NADH","NAD"
"99","NADH","7-methyl-octanoyl-ACP"
"100","H+","NAD"
"101","H+","7-methyl-octanoyl-ACP"
"102","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"103","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"104","ATP","dCDP"
"105","ATP","ADP"
"106","ATP","dCTP"
"107","dCDP","ATP"
"108","dCDP","ADP"
"109","dCDP","dCTP"
"110","ADP","ATP"
"111","ADP","dCDP"
"112","ADP","dCTP"
"113","dCTP","ATP"
"114","dCTP","dCDP"
"115","dCTP","ADP"
"116","ATP","ADP"
"117","ATP","CO2"
"118","ATP","Phosphoenolpyruvate"
"119","Oxaloacetate","ADP"
"120","Oxaloacetate","CO2"
"121","Oxaloacetate","Phosphoenolpyruvate"
