"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"20","Lipoamide","TPP"
"21","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"22","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"23","2-Methyl-1-hydroxypropyl-TPP","TPP"
"24","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"25","TPP","Lipoamide"
"26","TPP","2-Methyl-1-hydroxypropyl-TPP"
"27","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"28","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"29","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"30","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"31","S-Adenosyl-L-methionine","L-Methionine"
"32","S-Adenosyl-L-methionine","H+"
"33","S-Adenosyl-L-methionine","BIOT"
"34","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"35","S","L-Methionine"
"36","S","H+"
"37","S","BIOT"
"38","S","5'-Deoxyadenosine"
"39","Dethiobiotin","L-Methionine"
"40","Dethiobiotin","H+"
"41","Dethiobiotin","BIOT"
"42","Dethiobiotin","5'-Deoxyadenosine"
"43","H+","Adenosine"
"44","H+","Adenosine"
"45","Adenosine","H+"
"46","Adenosine","H+"
"47","Acetyl-CoA","CoA"
"48","Acetyl-CoA","O-Acetyl-L-serine"
"49","L-Serine","CoA"
"50","L-Serine","O-Acetyl-L-serine"
"51","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"52","UDP-glucose","UDP"
"53","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"54","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-glucose"
"55","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP"
"56","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"57","UDP","UDP-glucose"
"58","UDP","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"59","UDP","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"60","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP-glucose"
"61","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"62","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP"
"63","ATP","CMP"
"64","ATP","H+"
"65","ATP","ADP"
"66","ATP","CDP"
"67","CMP","ATP"
"68","CMP","H+"
"69","CMP","ADP"
"70","CMP","CDP"
"71","H+","ATP"
"72","H+","CMP"
"73","H+","ADP"
"74","H+","CDP"
"75","ADP","ATP"
"76","ADP","CMP"
"77","ADP","H+"
"78","ADP","CDP"
"79","CDP","ATP"
"80","CDP","CMP"
"81","CDP","H+"
"82","CDP","ADP"
"83","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"84","UDP-N-acetylglucosamine","UDP"
"85","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"86","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"87","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"88","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"89","UDP","UDP-N-acetylglucosamine"
"90","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"91","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"92","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"93","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"94","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"95","H2O","Pyruvate"
"96","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"97","Isochorismate","Pyruvate"
"98","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"99","ATP","PPi"
"100","ATP","AMP"
"101","ATP","fa6coa"
"102","CoA","PPi"
"103","CoA","AMP"
"104","CoA","fa6coa"
