"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"8","Lipoamide","TPP"
"9","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"10","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"11","2-Methyl-1-hydroxypropyl-TPP","TPP"
"12","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"13","TPP","Lipoamide"
"14","TPP","2-Methyl-1-hydroxypropyl-TPP"
"15","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"16","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"17","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"18","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","H2O","N-Acyl-L-aspartate"
"26","H2O","L-Aspartate"
"27","H2O","Carboxylic acid"
"28","N-Acyl-L-aspartate","H2O"
"29","N-Acyl-L-aspartate","L-Aspartate"
"30","N-Acyl-L-aspartate","Carboxylic acid"
"31","L-Aspartate","H2O"
"32","L-Aspartate","N-Acyl-L-aspartate"
"33","L-Aspartate","Carboxylic acid"
"34","Carboxylic acid","H2O"
"35","Carboxylic acid","N-Acyl-L-aspartate"
"36","Carboxylic acid","L-Aspartate"
"37","S-Adenosyl-L-methionine","L-Methionine"
"38","S-Adenosyl-L-methionine","H+"
"39","S-Adenosyl-L-methionine","BIOT"
"40","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"41","S","L-Methionine"
"42","S","H+"
"43","S","BIOT"
"44","S","5'-Deoxyadenosine"
"45","Dethiobiotin","L-Methionine"
"46","Dethiobiotin","H+"
"47","Dethiobiotin","BIOT"
"48","Dethiobiotin","5'-Deoxyadenosine"
"49","Acetyl-CoA","CoA"
"50","Acetyl-CoA","O-Acetyl-L-serine"
"51","L-Serine","CoA"
"52","L-Serine","O-Acetyl-L-serine"
"53","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"54","UDP-glucose","UDP"
"55","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"56","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-glucose"
"57","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP"
"58","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"59","UDP","UDP-glucose"
"60","UDP","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"61","UDP","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"62","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP-glucose"
"63","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"64","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP"
"65","ATP","CMP"
"66","ATP","H+"
"67","ATP","ADP"
"68","ATP","CDP"
"69","CMP","ATP"
"70","CMP","H+"
"71","CMP","ADP"
"72","CMP","CDP"
"73","H+","ATP"
"74","H+","CMP"
"75","H+","ADP"
"76","H+","CDP"
"77","ADP","ATP"
"78","ADP","CMP"
"79","ADP","H+"
"80","ADP","CDP"
"81","CDP","ATP"
"82","CDP","CMP"
"83","CDP","H+"
"84","CDP","ADP"
"85","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"86","UDP-N-acetylglucosamine","UDP"
"87","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"88","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"89","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"90","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"91","UDP","UDP-N-acetylglucosamine"
"92","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"93","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"94","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"95","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"96","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"97","H2O","Pyruvate"
"98","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"99","Isochorismate","Pyruvate"
