"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"20","Lipoamide","TPP"
"21","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"22","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"23","2-Methyl-1-hydroxypropyl-TPP","TPP"
"24","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"25","TPP","Lipoamide"
"26","TPP","2-Methyl-1-hydroxypropyl-TPP"
"27","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"28","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"29","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"30","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"31","PRPP","PPi"
"32","PRPP","H+"
"33","PRPP","IMP"
"34","HYXN","PPi"
"35","HYXN","H+"
"36","HYXN","IMP"
"37","S-Adenosyl-L-methionine","L-Methionine"
"38","S-Adenosyl-L-methionine","H+"
"39","S-Adenosyl-L-methionine","BIOT"
"40","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"41","S","L-Methionine"
"42","S","H+"
"43","S","BIOT"
"44","S","5'-Deoxyadenosine"
"45","Dethiobiotin","L-Methionine"
"46","Dethiobiotin","H+"
"47","Dethiobiotin","BIOT"
"48","Dethiobiotin","5'-Deoxyadenosine"
"49","H2O","LacCer"
"50","H2O","Galactose"
"51","H2O","Glucocerebroside"
"52","LacCer","H2O"
"53","LacCer","Galactose"
"54","LacCer","Glucocerebroside"
"55","Galactose","H2O"
"56","Galactose","LacCer"
"57","Galactose","Glucocerebroside"
"58","Glucocerebroside","H2O"
"59","Glucocerebroside","LacCer"
"60","Glucocerebroside","Galactose"
"61","Acetyl-CoA","CoA"
"62","Acetyl-CoA","O-Acetyl-L-serine"
"63","L-Serine","CoA"
"64","L-Serine","O-Acetyl-L-serine"
"65","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"66","UDP-glucose","UDP"
"67","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"68","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-glucose"
"69","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP"
"70","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"71","UDP","UDP-glucose"
"72","UDP","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"73","UDP","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"74","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP-glucose"
"75","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"76","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP"
"77","ATP","CMP"
"78","ATP","H+"
"79","ATP","ADP"
"80","ATP","CDP"
"81","CMP","ATP"
"82","CMP","H+"
"83","CMP","ADP"
"84","CMP","CDP"
"85","H+","ATP"
"86","H+","CMP"
"87","H+","ADP"
"88","H+","CDP"
"89","ADP","ATP"
"90","ADP","CMP"
"91","ADP","H+"
"92","ADP","CDP"
"93","CDP","ATP"
"94","CDP","CMP"
"95","CDP","H+"
"96","CDP","ADP"
"97","H+","Fumarate"
"98","H+","Fumarate"
"99","Fumarate","H+"
"100","Fumarate","H+"
"101","H2O","H+"
"102","H2O","Methylenediurea"
"103","H2O","CO2"
"104","H2O","NH3"
"105","H2O","N-(Hydroxymethyl)urea"
"106","H+","H2O"
"107","H+","Methylenediurea"
"108","H+","CO2"
"109","H+","NH3"
"110","H+","N-(Hydroxymethyl)urea"
"111","Methylenediurea","H2O"
"112","Methylenediurea","H+"
"113","Methylenediurea","CO2"
"114","Methylenediurea","NH3"
"115","Methylenediurea","N-(Hydroxymethyl)urea"
"116","CO2","H2O"
"117","CO2","H+"
"118","CO2","Methylenediurea"
"119","CO2","NH3"
"120","CO2","N-(Hydroxymethyl)urea"
"121","NH3","H2O"
"122","NH3","H+"
"123","NH3","Methylenediurea"
"124","NH3","CO2"
"125","NH3","N-(Hydroxymethyl)urea"
"126","N-(Hydroxymethyl)urea","H2O"
"127","N-(Hydroxymethyl)urea","H+"
"128","N-(Hydroxymethyl)urea","Methylenediurea"
"129","N-(Hydroxymethyl)urea","CO2"
"130","N-(Hydroxymethyl)urea","NH3"
"131","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"132","UDP-N-acetylglucosamine","UDP"
"133","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"134","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"135","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
