"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","H2O","N-Acyl-L-aspartate"
"26","H2O","L-Aspartate"
"27","H2O","Carboxylic acid"
"28","N-Acyl-L-aspartate","H2O"
"29","N-Acyl-L-aspartate","L-Aspartate"
"30","N-Acyl-L-aspartate","Carboxylic acid"
"31","L-Aspartate","H2O"
"32","L-Aspartate","N-Acyl-L-aspartate"
"33","L-Aspartate","Carboxylic acid"
"34","Carboxylic acid","H2O"
"35","Carboxylic acid","N-Acyl-L-aspartate"
"36","Carboxylic acid","L-Aspartate"
"37","H2O","LacCer"
"38","H2O","Galactose"
"39","H2O","Glucocerebroside"
"40","LacCer","H2O"
"41","LacCer","Galactose"
"42","LacCer","Glucocerebroside"
"43","Galactose","H2O"
"44","Galactose","LacCer"
"45","Galactose","Glucocerebroside"
"46","Glucocerebroside","H2O"
"47","Glucocerebroside","LacCer"
"48","Glucocerebroside","Galactose"
"49","Acetyl-CoA","CoA"
"50","Acetyl-CoA","O-Acetyl-L-serine"
"51","L-Serine","CoA"
"52","L-Serine","O-Acetyl-L-serine"
"53","ATP","CMP"
"54","ATP","H+"
"55","ATP","ADP"
"56","ATP","CDP"
"57","CMP","ATP"
"58","CMP","H+"
"59","CMP","ADP"
"60","CMP","CDP"
"61","H+","ATP"
"62","H+","CMP"
"63","H+","ADP"
"64","H+","CDP"
"65","ADP","ATP"
"66","ADP","CMP"
"67","ADP","H+"
"68","ADP","CDP"
"69","CDP","ATP"
"70","CDP","CMP"
"71","CDP","H+"
"72","CDP","ADP"
"73","H+","Fumarate"
"74","H+","Fumarate"
"75","Fumarate","H+"
"76","Fumarate","H+"
"77","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"78","UDP-N-acetylglucosamine","UDP"
"79","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"80","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"81","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"82","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"83","UDP","UDP-N-acetylglucosamine"
"84","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"85","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"86","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"87","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"88","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"89","ATP","PPi"
"90","ATP","AMP"
"91","ATP","fa6coa"
"92","CoA","PPi"
"93","CoA","AMP"
"94","CoA","fa6coa"
"95","fa6","PPi"
"96","fa6","AMP"
"97","fa6","fa6coa"
"98","ATP","ADP"
"99","ATP","Phosphate"
"100","ATP","H+"
"101","ATP","gamma-Glutamylcysteine"
"102","L-Glutamate","ADP"
"103","L-Glutamate","Phosphate"
"104","L-Glutamate","H+"
"105","L-Glutamate","gamma-Glutamylcysteine"
"106","L-Cysteine","ADP"
"107","L-Cysteine","Phosphate"
"108","L-Cysteine","H+"
"109","L-Cysteine","gamma-Glutamylcysteine"
"110","NADH","NAD"
"111","NADH","7-methyl-octanoyl-ACP"
"112","H+","NAD"
"113","H+","7-methyl-octanoyl-ACP"
"114","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"115","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"116","ATP","dCDP"
"117","ATP","ADP"
"118","ATP","dCTP"
"119","dCDP","ATP"
"120","dCDP","ADP"
"121","dCDP","dCTP"
"122","ADP","ATP"
"123","ADP","dCDP"
"124","ADP","dCTP"
"125","dCTP","ATP"
"126","dCTP","dCDP"
"127","dCTP","ADP"
"128","ATP","ADP"
"129","ATP","CO2"
"130","ATP","Phosphoenolpyruvate"
"131","Oxaloacetate","ADP"
"132","Oxaloacetate","CO2"
"133","Oxaloacetate","Phosphoenolpyruvate"
"134","Lipoamide","2-Hydroxyethyl-ThPP"
"135","Lipoamide","TPP"
